|dates|Buffalo_SouthDakota_UnitedStates.JHU_ConfirmedCases.data|Buffalo_SouthDakota_UnitedStates.JHU_ConfirmedCases.missing|Buffalo_SouthDakota_UnitedStates.NYT_ConfirmedCases.data|Buffalo_SouthDakota_UnitedStates.NYT_ConfirmedCases.missing|Buffalo_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.data|Buffalo_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|Buffalo_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|Buffalo_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-12-10|472.0|0|472.0|0|16.0|0|0.0|100
0|2021-12-11|472.0|0|472.0|0|16.0|0|0.0|100
0|2021-12-12|472.0|0|472.0|0|16.0|0|0.0|100
0|2021-12-13|463.0|0|463.0|0|16.0|0|0.0|100
0|2021-12-14|463.0|0|463.0|0|16.0|0|0.0|100
0|2021-12-15|464.0|0|464.0|0|16.0|0|0.0|100
0|2021-12-16|466.0|0|466.0|0|16.0|0|0.0|100
0|2021-12-17|466.0|0|466.0|0|16.0|0|0.0|100
0|2021-12-18|466.0|0|466.0|0|16.0|0|0.0|100
0|2021-12-19|466.0|0|466.0|0|16.0|0|0.0|100
0|2021-12-20|466.0|0|466.0|0|16.0|0|0.0|100
0|2021-12-21|467.0|0|467.0|0|16.0|0|0.0|100
0|2021-12-22|468.0|0|468.0|0|16.0|0|0.0|100
0|2021-12-23|469.0|0|469.0|0|16.0|0|0.0|100
0|2021-12-24|469.0|0|469.0|0|16.0|0|0.0|100
0|2021-12-25|469.0|0|469.0|0|16.0|0|0.0|100
0|2021-12-26|469.0|0|469.0|0|16.0|0|0.0|100
0|2021-12-27|470.0|0|470.0|0|16.0|0|0.0|100
0|2021-12-28|471.0|0|471.0|0|16.0|0|0.0|100
0|2021-12-29|475.0|0|475.0|0|16.0|0|0.0|100
0|2021-12-30|477.0|0|477.0|0|16.0|0|0.0|100
0|2021-12-31|477.0|0|477.0|0|16.0|0|0.0|100
0|2022-01-01|477.0|0|477.0|0|16.0|0|0.0|100
0|2022-01-02|477.0|0|477.0|0|16.0|0|0.0|100
0|2022-01-03|478.0|0|478.0|0|16.0|0|0.0|100
0|2022-01-04|495.0|0|495.0|0|16.0|0|0.0|100
0|2022-01-05|515.0|0|515.0|0|16.0|0|0.0|100
0|2022-01-06|527.0|0|527.0|0|16.0|0|0.0|100
0|2022-01-07|533.0|0|533.0|0|16.0|0|0.0|100
0|2022-01-08|533.0|0|533.0|0|16.0|0|0.0|100
0|2022-01-09|533.0|0|533.0|0|16.0|0|0.0|100
0|2022-01-10|541.0|0|541.0|0|16.0|0|0.0|100
0|2022-01-11|550.0|0|550.0|0|16.0|0|0.0|100
0|2022-01-12|559.0|0|559.0|0|16.0|0|0.0|100
0|2022-01-13|559.0|0|559.0|0|16.0|0|0.0|100
0|2022-01-14|559.0|0|567.0|0|16.0|0|0.0|100
0|2022-01-15|567.0|0|567.0|0|17.0|0|0.0|100
0|2022-01-16|567.0|0|567.0|0|17.0|0|0.0|100
0|2022-01-17|567.0|0|0.0|100|17.0|0|0.0|100
