|dates|Ramsey_Minnesota_UnitedStates.JHU_ConfirmedCases.data|Ramsey_Minnesota_UnitedStates.JHU_ConfirmedCases.missing|Ramsey_Minnesota_UnitedStates.NYT_ConfirmedCases.data|Ramsey_Minnesota_UnitedStates.NYT_ConfirmedCases.missing|Ramsey_Minnesota_UnitedStates.JHU_ConfirmedDeaths.data|Ramsey_Minnesota_UnitedStates.JHU_ConfirmedDeaths.missing|Ramsey_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.data|Ramsey_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2022-01-01|84152.0|0|84152.0|0|1129.0|0|0.0|100
0|2022-01-02|84152.0|0|84152.0|0|1129.0|0|0.0|100
0|2022-01-03|85048.0|0|85048.0|0|1132.0|0|0.0|100
0|2022-01-04|87308.0|0|87308.0|0|1136.0|0|0.0|100
0|2022-01-05|87732.0|0|87732.0|0|1146.0|0|0.0|100
0|2022-01-06|88614.0|0|88614.0|0|1149.0|0|0.0|100
0|2022-01-07|89495.0|0|89495.0|0|1154.0|0|0.0|100
0|2022-01-08|89495.0|0|89495.0|0|1154.0|0|0.0|100
0|2022-01-09|89495.0|0|89495.0|0|1154.0|0|0.0|100
0|2022-01-10|90778.0|0|90778.0|0|1158.0|0|0.0|100
0|2022-01-11|93699.0|0|93699.0|0|1162.0|0|0.0|100
0|2022-01-12|94608.0|0|94608.0|0|1166.0|0|0.0|100
0|2022-01-13|94608.0|0|96274.0|0|1166.0|0|0.0|100
0|2022-01-14|97537.0|0|97537.0|0|1174.0|0|0.0|100
0|2022-01-15|97537.0|0|97537.0|0|1174.0|0|0.0|100
0|2022-01-16|97537.0|0|97537.0|0|1174.0|0|0.0|100
0|2022-01-17|97537.0|0|0.0|100|1174.0|0|0.0|100
