|dates|Clark_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Clark_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Clark_Kansas_UnitedStates.Male_Total_Population.data|Clark_Kansas_UnitedStates.Male_Total_Population.missing|Clark_Kansas_UnitedStates.Female_Total_Population.data|Clark_Kansas_UnitedStates.Female_Total_Population.missing|Clark_Kansas_UnitedStates.MaleAndFemale_Under18_Population.data|Clark_Kansas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-12-24|440.0|0|995.0|0|1010.0|0|483.0|0
0|2021-12-25|440.0|0|995.0|0|1010.0|0|483.0|0
0|2021-12-26|440.0|0|995.0|0|1010.0|0|483.0|0
0|2021-12-27|440.0|0|995.0|0|1010.0|0|483.0|0
0|2021-12-28|440.0|0|995.0|0|1010.0|0|483.0|0
0|2021-12-29|440.0|0|995.0|0|1010.0|0|483.0|0
0|2021-12-30|440.0|0|995.0|0|1010.0|0|483.0|0
0|2021-12-31|440.0|0|995.0|0|1010.0|0|483.0|0
0|2022-01-01|440.0|0|995.0|0|1010.0|0|483.0|0
0|2022-01-02|440.0|0|995.0|0|1010.0|0|483.0|0
0|2022-01-03|440.0|0|995.0|0|1010.0|0|483.0|0
0|2022-01-04|440.0|0|995.0|0|1010.0|0|483.0|0
0|2022-01-05|440.0|0|995.0|0|1010.0|0|483.0|0
0|2022-01-06|440.0|0|995.0|0|1010.0|0|483.0|0
0|2022-01-07|440.0|0|995.0|0|1010.0|0|483.0|0
0|2022-01-08|440.0|0|995.0|0|1010.0|0|483.0|0
0|2022-01-09|440.0|0|995.0|0|1010.0|0|483.0|0
0|2022-01-10|440.0|0|995.0|0|1010.0|0|483.0|0
0|2022-01-11|440.0|0|995.0|0|1010.0|0|483.0|0
0|2022-01-12|440.0|0|995.0|0|1010.0|0|483.0|0
0|2022-01-13|440.0|0|995.0|0|1010.0|0|483.0|0
0|2022-01-14|440.0|0|995.0|0|1010.0|0|483.0|0
0|2022-01-15|440.0|0|995.0|0|1010.0|0|483.0|0
0|2022-01-16|440.0|0|995.0|0|1010.0|0|483.0|0
0|2022-01-17|440.0|0|995.0|0|1010.0|0|483.0|0
