|dates|Sullivan_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Sullivan_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Sullivan_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Sullivan_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Sullivan_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Sullivan_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Sullivan_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Sullivan_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-11-25|28002.0|0|28002.0|0|446.0|0|0.0|100
0|2021-11-26|28002.0|0|28002.0|0|446.0|0|0.0|100
0|2021-11-27|28002.0|0|28002.0|0|446.0|0|0.0|100
0|2021-11-28|28002.0|0|28002.0|0|446.0|0|0.0|100
0|2021-11-29|28290.0|0|28290.0|0|448.0|0|0.0|100
0|2021-11-30|28437.0|0|28437.0|0|450.0|0|0.0|100
0|2021-12-01|28531.0|0|28531.0|0|451.0|0|0.0|100
0|2021-12-02|28650.0|0|28650.0|0|456.0|0|0.0|100
0|2021-12-03|28750.0|0|28750.0|0|458.0|0|0.0|100
0|2021-12-04|28750.0|0|28750.0|0|458.0|0|0.0|100
0|2021-12-05|28750.0|0|28750.0|0|458.0|0|0.0|100
0|2021-12-06|28941.0|0|28941.0|0|461.0|0|0.0|100
0|2021-12-07|29044.0|0|29044.0|0|466.0|0|0.0|100
0|2021-12-08|29125.0|0|29125.0|0|467.0|0|0.0|100
0|2021-12-09|29125.0|0|29125.0|0|467.0|0|0.0|100
0|2021-12-10|29321.0|0|29321.0|0|472.0|0|0.0|100
0|2021-12-11|29321.0|0|29321.0|0|472.0|0|0.0|100
0|2021-12-12|29321.0|0|29321.0|0|472.0|0|0.0|100
0|2021-12-13|29517.0|0|29517.0|0|472.0|0|0.0|100
0|2021-12-14|29517.0|0|29606.0|0|472.0|0|0.0|100
0|2021-12-15|29707.0|0|29707.0|0|476.0|0|0.0|100
0|2021-12-16|29766.0|0|29766.0|0|480.0|0|0.0|100
0|2021-12-17|29844.0|0|29844.0|0|482.0|0|0.0|100
0|2021-12-18|29844.0|0|29844.0|0|482.0|0|0.0|100
0|2021-12-19|29844.0|0|29844.0|0|482.0|0|0.0|100
0|2021-12-20|30016.0|0|30016.0|0|484.0|0|0.0|100
0|2021-12-21|30123.0|0|30123.0|0|487.0|0|0.0|100
0|2021-12-22|30193.0|0|30193.0|0|488.0|0|0.0|100
0|2021-12-23|30313.0|0|30313.0|0|524.0|0|0.0|100
0|2021-12-24|30313.0|0|30313.0|0|524.0|0|0.0|100
0|2021-12-25|30313.0|0|30313.0|0|524.0|0|0.0|100
0|2021-12-26|30313.0|0|30313.0|0|524.0|0|0.0|100
0|2021-12-27|30525.0|0|30525.0|0|526.0|0|0.0|100
0|2021-12-28|30630.0|0|30630.0|0|530.0|0|0.0|100
0|2021-12-29|30691.0|0|30691.0|0|538.0|0|0.0|100
0|2021-12-30|30945.0|0|30945.0|0|544.0|0|0.0|100
0|2021-12-31|30945.0|0|30945.0|0|544.0|0|0.0|100
0|2022-01-01|30945.0|0|30945.0|0|544.0|0|0.0|100
0|2022-01-02|30945.0|0|30945.0|0|544.0|0|0.0|100
0|2022-01-03|31409.0|0|31409.0|0|546.0|0|0.0|100
0|2022-01-04|31623.0|0|31623.0|0|549.0|0|0.0|100
0|2022-01-05|31623.0|0|31623.0|0|549.0|0|0.0|100
0|2022-01-06|31623.0|0|31623.0|0|549.0|0|0.0|100
0|2022-01-07|31623.0|0|31623.0|0|549.0|0|0.0|100
0|2022-01-08|31623.0|0|31623.0|0|549.0|0|0.0|100
0|2022-01-09|31623.0|0|31623.0|0|549.0|0|0.0|100
0|2022-01-10|31623.0|0|31623.0|0|549.0|0|0.0|100
0|2022-01-11|31623.0|0|31623.0|0|549.0|0|0.0|100
0|2022-01-12|32969.0|0|32969.0|0|559.0|0|0.0|100
0|2022-01-13|32969.0|0|32969.0|0|559.0|0|0.0|100
0|2022-01-14|32969.0|0|32969.0|0|559.0|0|0.0|100
0|2022-01-15|32969.0|0|32969.0|0|559.0|0|0.0|100
0|2022-01-16|32969.0|0|32969.0|0|559.0|0|0.0|100
0|2022-01-17|32969.0|0|0.0|100|559.0|0|0.0|100
