|dates|Humboldt_Nevada_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Humboldt_Nevada_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Humboldt_Nevada_UnitedStates.Male_Total_Population.data|Humboldt_Nevada_UnitedStates.Male_Total_Population.missing|Humboldt_Nevada_UnitedStates.Female_Total_Population.data|Humboldt_Nevada_UnitedStates.Female_Total_Population.missing|Humboldt_Nevada_UnitedStates.MaleAndFemale_Under18_Population.data|Humboldt_Nevada_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-11-18|2294.0|0|8749.0|0|8037.0|0|4537.0|0
0|2021-11-19|2294.0|0|8749.0|0|8037.0|0|4537.0|0
0|2021-11-20|2294.0|0|8749.0|0|8037.0|0|4537.0|0
0|2021-11-21|2294.0|0|8749.0|0|8037.0|0|4537.0|0
0|2021-11-22|2294.0|0|8749.0|0|8037.0|0|4537.0|0
0|2021-11-23|2294.0|0|8749.0|0|8037.0|0|4537.0|0
0|2021-11-24|2294.0|0|8749.0|0|8037.0|0|4537.0|0
0|2021-11-25|2294.0|0|8749.0|0|8037.0|0|4537.0|0
0|2021-11-26|2294.0|0|8749.0|0|8037.0|0|4537.0|0
0|2021-11-27|2294.0|0|8749.0|0|8037.0|0|4537.0|0
0|2021-11-28|2294.0|0|8749.0|0|8037.0|0|4537.0|0
0|2021-11-29|2294.0|0|8749.0|0|8037.0|0|4537.0|0
0|2021-11-30|2294.0|0|8749.0|0|8037.0|0|4537.0|0
0|2021-12-01|2294.0|0|8749.0|0|8037.0|0|4537.0|0
0|2021-12-02|2294.0|0|8749.0|0|8037.0|0|4537.0|0
0|2021-12-03|2294.0|0|8749.0|0|8037.0|0|4537.0|0
0|2021-12-04|2294.0|0|8749.0|0|8037.0|0|4537.0|0
0|2021-12-05|2294.0|0|8749.0|0|8037.0|0|4537.0|0
0|2021-12-06|2294.0|0|8749.0|0|8037.0|0|4537.0|0
0|2021-12-07|2294.0|0|8749.0|0|8037.0|0|4537.0|0
0|2021-12-08|2294.0|0|8749.0|0|8037.0|0|4537.0|0
0|2021-12-09|2294.0|0|8749.0|0|8037.0|0|4537.0|0
0|2021-12-10|2294.0|0|8749.0|0|8037.0|0|4537.0|0
0|2021-12-11|2294.0|0|8749.0|0|8037.0|0|4537.0|0
0|2021-12-12|2294.0|0|8749.0|0|8037.0|0|4537.0|0
0|2021-12-13|2294.0|0|8749.0|0|8037.0|0|4537.0|0
0|2021-12-14|2294.0|0|8749.0|0|8037.0|0|4537.0|0
0|2021-12-15|2294.0|0|8749.0|0|8037.0|0|4537.0|0
0|2021-12-16|2294.0|0|8749.0|0|8037.0|0|4537.0|0
0|2021-12-17|2294.0|0|8749.0|0|8037.0|0|4537.0|0
0|2021-12-18|2294.0|0|8749.0|0|8037.0|0|4537.0|0
0|2021-12-19|2294.0|0|8749.0|0|8037.0|0|4537.0|0
0|2021-12-20|2294.0|0|8749.0|0|8037.0|0|4537.0|0
0|2021-12-21|2294.0|0|8749.0|0|8037.0|0|4537.0|0
0|2021-12-22|2294.0|0|8749.0|0|8037.0|0|4537.0|0
0|2021-12-23|2294.0|0|8749.0|0|8037.0|0|4537.0|0
0|2021-12-24|2294.0|0|8749.0|0|8037.0|0|4537.0|0
0|2021-12-25|2294.0|0|8749.0|0|8037.0|0|4537.0|0
0|2021-12-26|2294.0|0|8749.0|0|8037.0|0|4537.0|0
0|2021-12-27|2294.0|0|8749.0|0|8037.0|0|4537.0|0
0|2021-12-28|2294.0|0|8749.0|0|8037.0|0|4537.0|0
0|2021-12-29|2294.0|0|8749.0|0|8037.0|0|4537.0|0
0|2021-12-30|2294.0|0|8749.0|0|8037.0|0|4537.0|0
0|2021-12-31|2294.0|0|8749.0|0|8037.0|0|4537.0|0
0|2022-01-01|2294.0|0|8749.0|0|8037.0|0|4537.0|0
0|2022-01-02|2294.0|0|8749.0|0|8037.0|0|4537.0|0
0|2022-01-03|2294.0|0|8749.0|0|8037.0|0|4537.0|0
0|2022-01-04|2294.0|0|8749.0|0|8037.0|0|4537.0|0
0|2022-01-05|2294.0|0|8749.0|0|8037.0|0|4537.0|0
0|2022-01-06|2294.0|0|8749.0|0|8037.0|0|4537.0|0
0|2022-01-07|2294.0|0|8749.0|0|8037.0|0|4537.0|0
0|2022-01-08|2294.0|0|8749.0|0|8037.0|0|4537.0|0
0|2022-01-09|2294.0|0|8749.0|0|8037.0|0|4537.0|0
0|2022-01-10|2294.0|0|8749.0|0|8037.0|0|4537.0|0
0|2022-01-11|2294.0|0|8749.0|0|8037.0|0|4537.0|0
0|2022-01-12|2294.0|0|8749.0|0|8037.0|0|4537.0|0
0|2022-01-13|2294.0|0|8749.0|0|8037.0|0|4537.0|0
0|2022-01-14|2294.0|0|8749.0|0|8037.0|0|4537.0|0
0|2022-01-15|2294.0|0|8749.0|0|8037.0|0|4537.0|0
0|2022-01-16|2294.0|0|8749.0|0|8037.0|0|4537.0|0
0|2022-01-17|2294.0|0|8749.0|0|8037.0|0|4537.0|0
