|dates|Williamson_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Williamson_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Williamson_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Williamson_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Williamson_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Williamson_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Williamson_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Williamson_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-12-17|42062.0|0|42062.0|0|286.0|0|0.0|100
0|2021-12-18|42062.0|0|42062.0|0|286.0|0|0.0|100
0|2021-12-19|42062.0|0|42062.0|0|286.0|0|0.0|100
0|2021-12-20|42255.0|0|42255.0|0|287.0|0|0.0|100
0|2021-12-21|42355.0|0|42355.0|0|290.0|0|0.0|100
0|2021-12-22|42479.0|0|42479.0|0|291.0|0|0.0|100
0|2021-12-23|42716.0|0|42716.0|0|314.0|0|0.0|100
0|2021-12-24|42716.0|0|42716.0|0|314.0|0|0.0|100
0|2021-12-25|42716.0|0|42716.0|0|314.0|0|0.0|100
0|2021-12-26|42716.0|0|42716.0|0|314.0|0|0.0|100
0|2021-12-27|43361.0|0|43361.0|0|318.0|0|0.0|100
0|2021-12-28|43621.0|0|43621.0|0|321.0|0|0.0|100
0|2021-12-29|44123.0|0|44123.0|0|322.0|0|0.0|100
0|2021-12-30|44659.0|0|44659.0|0|322.0|0|0.0|100
0|2021-12-31|44659.0|0|44659.0|0|322.0|0|0.0|100
0|2022-01-01|44659.0|0|44659.0|0|322.0|0|0.0|100
0|2022-01-02|44659.0|0|44659.0|0|322.0|0|0.0|100
0|2022-01-03|46063.0|0|46063.0|0|323.0|0|0.0|100
0|2022-01-04|46356.0|0|46356.0|0|323.0|0|0.0|100
0|2022-01-05|46356.0|0|46356.0|0|323.0|0|0.0|100
0|2022-01-06|46356.0|0|46356.0|0|323.0|0|0.0|100
0|2022-01-07|46356.0|0|46356.0|0|323.0|0|0.0|100
0|2022-01-08|46356.0|0|46356.0|0|323.0|0|0.0|100
0|2022-01-09|46356.0|0|46356.0|0|323.0|0|0.0|100
0|2022-01-10|46356.0|0|46356.0|0|323.0|0|0.0|100
0|2022-01-11|46356.0|0|46356.0|0|323.0|0|0.0|100
0|2022-01-12|48593.0|0|48593.0|0|327.0|0|0.0|100
0|2022-01-13|48593.0|0|48593.0|0|327.0|0|0.0|100
0|2022-01-14|48593.0|0|48593.0|0|327.0|0|0.0|100
0|2022-01-15|48593.0|0|48593.0|0|327.0|0|0.0|100
0|2022-01-16|48593.0|0|48593.0|0|327.0|0|0.0|100
0|2022-01-17|48593.0|0|0.0|100|327.0|0|0.0|100
