|dates|Washington_Tennessee_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Washington_Tennessee_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Washington_Tennessee_UnitedStates.Male_Total_Population.data|Washington_Tennessee_UnitedStates.Male_Total_Population.missing|Washington_Tennessee_UnitedStates.Female_Total_Population.data|Washington_Tennessee_UnitedStates.Female_Total_Population.missing|Washington_Tennessee_UnitedStates.MaleAndFemale_Under18_Population.data|Washington_Tennessee_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-12-01|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-12-02|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-12-03|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-12-04|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-12-05|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-12-06|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-12-07|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-12-08|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-12-09|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-12-10|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-12-11|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-12-12|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-12-13|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-12-14|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-12-15|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-12-16|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-12-17|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-12-18|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-12-19|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-12-20|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-12-21|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-12-22|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-12-23|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-12-24|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-12-25|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-12-26|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-12-27|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-12-28|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-12-29|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-12-30|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-12-31|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2022-01-01|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2022-01-02|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2022-01-03|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2022-01-04|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2022-01-05|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2022-01-06|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2022-01-07|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2022-01-08|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2022-01-09|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2022-01-10|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2022-01-11|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2022-01-12|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2022-01-13|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2022-01-14|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2022-01-15|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2022-01-16|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2022-01-17|23564.0|0|62829.0|0|65778.0|0|24487.0|0
