|dates|Anderson_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Anderson_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Anderson_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Anderson_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Anderson_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Anderson_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Anderson_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Anderson_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-12-31|14409.0|0|14409.0|0|265.0|0|0.0|100
0|2022-01-01|14409.0|0|14409.0|0|265.0|0|0.0|100
0|2022-01-02|14409.0|0|14409.0|0|265.0|0|0.0|100
0|2022-01-03|14657.0|0|14657.0|0|266.0|0|0.0|100
0|2022-01-04|14717.0|0|14717.0|0|267.0|0|0.0|100
0|2022-01-05|14717.0|0|14717.0|0|267.0|0|0.0|100
0|2022-01-06|14717.0|0|14717.0|0|267.0|0|0.0|100
0|2022-01-07|14717.0|0|14717.0|0|267.0|0|0.0|100
0|2022-01-08|14717.0|0|14717.0|0|267.0|0|0.0|100
0|2022-01-09|14717.0|0|14717.0|0|267.0|0|0.0|100
0|2022-01-10|14717.0|0|14717.0|0|267.0|0|0.0|100
0|2022-01-11|14717.0|0|14717.0|0|267.0|0|0.0|100
0|2022-01-12|15396.0|0|15396.0|0|270.0|0|0.0|100
0|2022-01-13|15396.0|0|15396.0|0|270.0|0|0.0|100
0|2022-01-14|15396.0|0|15396.0|0|270.0|0|0.0|100
0|2022-01-15|15396.0|0|15396.0|0|270.0|0|0.0|100
0|2022-01-16|15396.0|0|15396.0|0|270.0|0|0.0|100
0|2022-01-17|15396.0|0|0.0|100|270.0|0|0.0|100
