|dates|Hampton_SouthCarolina_UnitedStates.JHU_ConfirmedCases.data|Hampton_SouthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Hampton_SouthCarolina_UnitedStates.NYT_ConfirmedCases.data|Hampton_SouthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Hampton_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Hampton_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Hampton_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Hampton_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-11-22|3123.0|0|3123.0|0|74.0|0|0.0|100
0|2021-11-23|3123.0|0|3123.0|0|74.0|0|0.0|100
0|2021-11-24|3123.0|0|3123.0|0|74.0|0|0.0|100
0|2021-11-25|3123.0|0|3123.0|0|74.0|0|0.0|100
0|2021-11-26|3123.0|0|3122.0|0|74.0|0|0.0|100
0|2021-11-27|3123.0|0|3122.0|0|74.0|0|0.0|100
0|2021-11-28|3123.0|0|3122.0|0|74.0|0|0.0|100
0|2021-11-29|3128.0|0|3128.0|0|74.0|0|0.0|100
0|2021-11-30|3129.0|0|3129.0|0|74.0|0|0.0|100
0|2021-12-01|3130.0|0|3130.0|0|74.0|0|0.0|100
0|2021-12-02|3133.0|0|3133.0|0|74.0|0|0.0|100
0|2021-12-03|3138.0|0|3138.0|0|74.0|0|0.0|100
0|2021-12-04|3138.0|0|3138.0|0|74.0|0|0.0|100
0|2021-12-05|3138.0|0|3138.0|0|74.0|0|0.0|100
0|2021-12-06|3144.0|0|3144.0|0|74.0|0|0.0|100
0|2021-12-07|3148.0|0|3148.0|0|75.0|0|0.0|100
0|2021-12-08|3149.0|0|3149.0|0|75.0|0|0.0|100
0|2021-12-09|3151.0|0|3151.0|0|75.0|0|0.0|100
0|2021-12-10|3153.0|0|3153.0|0|75.0|0|0.0|100
0|2021-12-11|3153.0|0|3153.0|0|75.0|0|0.0|100
0|2021-12-12|3153.0|0|3153.0|0|75.0|0|0.0|100
0|2021-12-13|3161.0|0|3161.0|0|75.0|0|0.0|100
0|2021-12-14|3161.0|0|3164.0|0|75.0|0|0.0|100
0|2021-12-15|3169.0|0|3169.0|0|75.0|0|0.0|100
0|2021-12-16|3171.0|0|3171.0|0|75.0|0|0.0|100
0|2021-12-17|3172.0|0|3172.0|0|75.0|0|0.0|100
0|2021-12-18|3172.0|0|3172.0|0|75.0|0|0.0|100
0|2021-12-19|3172.0|0|3172.0|0|75.0|0|0.0|100
0|2021-12-20|3179.0|0|3179.0|0|75.0|0|0.0|100
0|2021-12-21|3182.0|0|3182.0|0|75.0|0|0.0|100
0|2021-12-22|3185.0|0|3185.0|0|75.0|0|0.0|100
0|2021-12-23|3191.0|0|3191.0|0|75.0|0|0.0|100
0|2021-12-24|3191.0|0|3191.0|0|75.0|0|0.0|100
0|2021-12-25|3191.0|0|3191.0|0|75.0|0|0.0|100
0|2021-12-26|3191.0|0|3191.0|0|75.0|0|0.0|100
0|2021-12-27|3191.0|0|3191.0|0|75.0|0|0.0|100
0|2021-12-28|3191.0|0|3191.0|0|75.0|0|0.0|100
0|2021-12-29|3227.0|0|3227.0|0|75.0|0|0.0|100
0|2021-12-30|3242.0|0|3242.0|0|75.0|0|0.0|100
0|2021-12-31|3267.0|0|3267.0|0|75.0|0|0.0|100
0|2022-01-01|3267.0|0|3267.0|0|75.0|0|0.0|100
0|2022-01-02|3267.0|0|3267.0|0|75.0|0|0.0|100
0|2022-01-03|3267.0|0|3267.0|0|75.0|0|0.0|100
0|2022-01-04|3378.0|0|3378.0|0|75.0|0|0.0|100
0|2022-01-05|3398.0|0|3398.0|0|75.0|0|0.0|100
0|2022-01-06|3460.0|0|3460.0|0|75.0|0|0.0|100
0|2022-01-07|3514.0|0|3514.0|0|75.0|0|0.0|100
0|2022-01-08|3514.0|0|3514.0|0|75.0|0|0.0|100
0|2022-01-09|3514.0|0|3514.0|0|75.0|0|0.0|100
0|2022-01-10|3647.0|0|3647.0|0|75.0|0|0.0|100
0|2022-01-11|3719.0|0|3719.0|0|75.0|0|0.0|100
0|2022-01-12|3766.0|0|3766.0|0|75.0|0|0.0|100
0|2022-01-13|3766.0|0|3804.0|0|75.0|0|0.0|100
0|2022-01-14|3912.0|0|3912.0|0|75.0|0|0.0|100
0|2022-01-15|3912.0|0|3912.0|0|75.0|0|0.0|100
0|2022-01-16|3912.0|0|3912.0|0|75.0|0|0.0|100
0|2022-01-17|3912.0|0|0.0|100|75.0|0|0.0|100
