|dates|Adams_Idaho_UnitedStates.JHU_ConfirmedCases.data|Adams_Idaho_UnitedStates.JHU_ConfirmedCases.missing|Adams_Idaho_UnitedStates.NYT_ConfirmedCases.data|Adams_Idaho_UnitedStates.NYT_ConfirmedCases.missing|Adams_Idaho_UnitedStates.JHU_ConfirmedDeaths.data|Adams_Idaho_UnitedStates.JHU_ConfirmedDeaths.missing|Adams_Idaho_UnitedStates.JHU_ConfirmedRecoveries.data|Adams_Idaho_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-12-14|556.0|0|556.0|0|14.0|0|0.0|100
0|2021-12-15|556.0|0|556.0|0|14.0|0|0.0|100
0|2021-12-16|556.0|0|556.0|0|14.0|0|0.0|100
0|2021-12-17|557.0|0|557.0|0|14.0|0|0.0|100
0|2021-12-18|558.0|0|558.0|0|14.0|0|0.0|100
0|2021-12-19|558.0|0|558.0|0|14.0|0|0.0|100
0|2021-12-20|559.0|0|559.0|0|14.0|0|0.0|100
0|2021-12-21|560.0|0|560.0|0|14.0|0|0.0|100
0|2021-12-22|560.0|0|560.0|0|14.0|0|0.0|100
0|2021-12-23|563.0|0|563.0|0|14.0|0|0.0|100
0|2021-12-24|563.0|0|563.0|0|14.0|0|0.0|100
0|2021-12-25|563.0|0|563.0|0|14.0|0|0.0|100
0|2021-12-26|563.0|0|563.0|0|14.0|0|0.0|100
0|2021-12-27|563.0|0|563.0|0|14.0|0|0.0|100
0|2021-12-28|564.0|0|564.0|0|14.0|0|0.0|100
0|2021-12-29|565.0|0|565.0|0|14.0|0|0.0|100
0|2021-12-30|568.0|0|568.0|0|14.0|0|0.0|100
0|2021-12-31|568.0|0|568.0|0|14.0|0|0.0|100
0|2022-01-01|568.0|0|568.0|0|14.0|0|0.0|100
0|2022-01-02|568.0|0|568.0|0|14.0|0|0.0|100
0|2022-01-03|568.0|0|568.0|0|14.0|0|0.0|100
0|2022-01-04|569.0|0|569.0|0|14.0|0|0.0|100
0|2022-01-05|569.0|0|569.0|0|14.0|0|0.0|100
0|2022-01-06|570.0|0|570.0|0|14.0|0|0.0|100
0|2022-01-07|571.0|0|571.0|0|14.0|0|0.0|100
0|2022-01-08|572.0|0|572.0|0|14.0|0|0.0|100
0|2022-01-09|572.0|0|572.0|0|14.0|0|0.0|100
0|2022-01-10|572.0|0|572.0|0|14.0|0|0.0|100
0|2022-01-11|574.0|0|574.0|0|14.0|0|0.0|100
0|2022-01-12|579.0|0|579.0|0|14.0|0|0.0|100
0|2022-01-13|579.0|0|581.0|0|14.0|0|0.0|100
0|2022-01-14|583.0|0|583.0|0|14.0|0|0.0|100
0|2022-01-15|587.0|0|587.0|0|14.0|0|0.0|100
0|2022-01-16|587.0|0|587.0|0|14.0|0|0.0|100
0|2022-01-17|587.0|0|0.0|100|14.0|0|0.0|100
