|dates|Camden_Georgia_UnitedStates.JHU_ConfirmedCases.data|Camden_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Camden_Georgia_UnitedStates.NYT_ConfirmedCases.data|Camden_Georgia_UnitedStates.NYT_ConfirmedCases.missing|Camden_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Camden_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Camden_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Camden_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2022-01-06|8500.0|0|8521.0|0|99.0|0|0.0|100
0|2022-01-07|8500.0|0|8521.0|0|99.0|0|0.0|100
0|2022-01-08|8500.0|0|8521.0|0|99.0|0|0.0|100
0|2022-01-09|8500.0|0|8521.0|0|99.0|0|0.0|100
0|2022-01-10|8789.0|0|8811.0|0|99.0|0|0.0|100
0|2022-01-11|8874.0|0|8896.0|0|99.0|0|0.0|100
0|2022-01-12|8912.0|0|8934.0|0|99.0|0|0.0|100
0|2022-01-13|8912.0|0|8977.0|0|99.0|0|0.0|100
0|2022-01-14|9040.0|0|9062.0|0|101.0|0|0.0|100
0|2022-01-15|9040.0|0|9062.0|0|101.0|0|0.0|100
0|2022-01-16|9040.0|0|9062.0|0|101.0|0|0.0|100
0|2022-01-17|9228.0|0|0.0|100|101.0|0|0.0|100
