|dates|Greenville_SouthCarolina_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Greenville_SouthCarolina_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Greenville_SouthCarolina_UnitedStates.Male_Total_Population.data|Greenville_SouthCarolina_UnitedStates.Male_Total_Population.missing|Greenville_SouthCarolina_UnitedStates.Female_Total_Population.data|Greenville_SouthCarolina_UnitedStates.Female_Total_Population.missing|Greenville_SouthCarolina_UnitedStates.MaleAndFemale_Under18_Population.data|Greenville_SouthCarolina_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-11-24|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-11-25|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-11-26|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-11-27|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-11-28|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-11-29|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-11-30|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-12-01|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-12-02|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-12-03|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-12-04|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-12-05|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-12-06|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-12-07|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-12-08|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-12-09|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-12-10|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-12-11|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-12-12|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-12-13|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-12-14|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-12-15|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-12-16|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-12-17|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-12-18|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-12-19|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-12-20|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-12-21|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-12-22|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-12-23|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-12-24|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-12-25|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-12-26|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-12-27|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-12-28|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-12-29|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-12-30|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-12-31|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2022-01-01|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2022-01-02|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2022-01-03|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2022-01-04|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2022-01-05|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2022-01-06|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2022-01-07|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2022-01-08|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2022-01-09|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2022-01-10|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2022-01-11|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2022-01-12|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2022-01-13|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2022-01-14|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2022-01-15|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2022-01-16|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2022-01-17|81136.0|0|249364.0|0|264849.0|0|118364.0|0
