|dates|Dubois_Indiana_UnitedStates.JHU_ConfirmedCases.data|Dubois_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Dubois_Indiana_UnitedStates.NYT_ConfirmedCases.data|Dubois_Indiana_UnitedStates.NYT_ConfirmedCases.missing|Dubois_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Dubois_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Dubois_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Dubois_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-11-07|8380.0|0|8381.0|0|134.0|0|0.0|100
0|2021-11-08|8393.0|0|8394.0|0|135.0|0|0.0|100
0|2021-11-09|8408.0|0|8409.0|0|135.0|0|0.0|100
0|2021-11-10|8408.0|0|8423.0|0|135.0|0|0.0|100
0|2021-11-11|8495.0|0|8496.0|0|135.0|0|0.0|100
0|2021-11-12|8517.0|0|8518.0|0|135.0|0|0.0|100
0|2021-11-13|8517.0|0|8518.0|0|135.0|0|0.0|100
0|2021-11-14|8517.0|0|8518.0|0|135.0|0|0.0|100
0|2021-11-15|8536.0|0|8537.0|0|135.0|0|0.0|100
0|2021-11-16|8549.0|0|8551.0|0|135.0|0|0.0|100
0|2021-11-17|8558.0|0|8560.0|0|135.0|0|0.0|100
0|2021-11-18|8578.0|0|8580.0|0|135.0|0|0.0|100
0|2021-11-19|8597.0|0|8599.0|0|137.0|0|0.0|100
0|2021-11-20|8597.0|0|8599.0|0|137.0|0|0.0|100
0|2021-11-21|8597.0|0|8599.0|0|137.0|0|0.0|100
0|2021-11-22|8618.0|0|8620.0|0|138.0|0|0.0|100
0|2021-11-23|8647.0|0|8649.0|0|138.0|0|0.0|100
0|2021-11-24|8673.0|0|8675.0|0|138.0|0|0.0|100
0|2021-11-25|8673.0|0|8675.0|0|138.0|0|0.0|100
0|2021-11-26|8673.0|0|8675.0|0|138.0|0|0.0|100
0|2021-11-27|8673.0|0|8675.0|0|138.0|0|0.0|100
0|2021-11-28|8673.0|0|8675.0|0|138.0|0|0.0|100
0|2021-11-29|8710.0|0|8712.0|0|139.0|0|0.0|100
0|2021-11-30|8751.0|0|8753.0|0|139.0|0|0.0|100
0|2021-12-01|8778.0|0|8780.0|0|139.0|0|0.0|100
0|2021-12-02|8778.0|0|8817.0|0|139.0|0|0.0|100
0|2021-12-03|8835.0|0|8837.0|0|140.0|0|0.0|100
0|2021-12-04|8835.0|0|8837.0|0|140.0|0|0.0|100
0|2021-12-05|8835.0|0|8837.0|0|140.0|0|0.0|100
0|2021-12-06|8877.0|0|8879.0|0|140.0|0|0.0|100
0|2021-12-07|8917.0|0|8919.0|0|142.0|0|0.0|100
0|2021-12-08|8939.0|0|8941.0|0|142.0|0|0.0|100
0|2021-12-09|8964.0|0|8966.0|0|142.0|0|0.0|100
0|2021-12-10|8991.0|0|8993.0|0|143.0|0|0.0|100
0|2021-12-11|8991.0|0|8993.0|0|143.0|0|0.0|100
0|2021-12-12|8991.0|0|8993.0|0|143.0|0|0.0|100
0|2021-12-13|9038.0|0|9040.0|0|144.0|0|0.0|100
0|2021-12-14|9038.0|0|9078.0|0|144.0|0|0.0|100
0|2021-12-15|9095.0|0|9097.0|0|145.0|0|0.0|100
0|2021-12-16|9115.0|0|9117.0|0|145.0|0|0.0|100
0|2021-12-17|9139.0|0|9141.0|0|145.0|0|0.0|100
0|2021-12-18|9139.0|0|9141.0|0|145.0|0|0.0|100
0|2021-12-19|9139.0|0|9141.0|0|145.0|0|0.0|100
0|2021-12-20|9166.0|0|9168.0|0|145.0|0|0.0|100
0|2021-12-21|9198.0|0|9200.0|0|145.0|0|0.0|100
0|2021-12-22|9216.0|0|9218.0|0|148.0|0|0.0|100
0|2021-12-23|9216.0|0|9218.0|0|148.0|0|0.0|100
0|2021-12-24|9216.0|0|9218.0|0|148.0|0|0.0|100
0|2021-12-25|9216.0|0|9218.0|0|148.0|0|0.0|100
0|2021-12-26|9216.0|0|9218.0|0|148.0|0|0.0|100
0|2021-12-27|9282.0|0|9285.0|0|148.0|0|0.0|100
0|2021-12-28|9324.0|0|9327.0|0|148.0|0|0.0|100
0|2021-12-29|9347.0|0|9350.0|0|148.0|0|0.0|100
0|2021-12-30|9399.0|0|9402.0|0|148.0|0|0.0|100
0|2021-12-31|9399.0|0|9402.0|0|148.0|0|0.0|100
0|2022-01-01|9399.0|0|9402.0|0|148.0|0|0.0|100
0|2022-01-02|9399.0|0|9402.0|0|148.0|0|0.0|100
0|2022-01-03|9548.0|0|9551.0|0|148.0|0|0.0|100
0|2022-01-04|9590.0|0|9593.0|0|150.0|0|0.0|100
0|2022-01-05|9663.0|0|9666.0|0|150.0|0|0.0|100
0|2022-01-06|9750.0|0|9753.0|0|151.0|0|0.0|100
0|2022-01-07|9843.0|0|9846.0|0|151.0|0|0.0|100
0|2022-01-08|9843.0|0|9846.0|0|151.0|0|0.0|100
0|2022-01-09|9843.0|0|9846.0|0|151.0|0|0.0|100
0|2022-01-10|10029.0|0|10032.0|0|151.0|0|0.0|100
0|2022-01-11|10118.0|0|10121.0|0|151.0|0|0.0|100
0|2022-01-12|10279.0|0|10282.0|0|151.0|0|0.0|100
0|2022-01-13|10279.0|0|10378.0|0|151.0|0|0.0|100
0|2022-01-14|10523.0|0|10526.0|0|151.0|0|0.0|100
0|2022-01-15|10523.0|0|10526.0|0|151.0|0|0.0|100
0|2022-01-16|10523.0|0|10526.0|0|151.0|0|0.0|100
0|2022-01-17|10782.0|0|0.0|100|152.0|0|0.0|100
