|dates|Erie_NewYork_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Erie_NewYork_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Erie_NewYork_UnitedStates.Male_Total_Population.data|Erie_NewYork_UnitedStates.Male_Total_Population.missing|Erie_NewYork_UnitedStates.Female_Total_Population.data|Erie_NewYork_UnitedStates.Female_Total_Population.missing|Erie_NewYork_UnitedStates.MaleAndFemale_Under18_Population.data|Erie_NewYork_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-11-22|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-11-23|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-11-24|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-11-25|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-11-26|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-11-27|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-11-28|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-11-29|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-11-30|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-12-01|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-12-02|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-12-03|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-12-04|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-12-05|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-12-06|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-12-07|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-12-08|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-12-09|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-12-10|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-12-11|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-12-12|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-12-13|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-12-14|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-12-15|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-12-16|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-12-17|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-12-18|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-12-19|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-12-20|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-12-21|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-12-22|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-12-23|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-12-24|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-12-25|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-12-26|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-12-27|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-12-28|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-12-29|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-12-30|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2021-12-31|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2022-01-01|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2022-01-02|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2022-01-03|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2022-01-04|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2022-01-05|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2022-01-06|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2022-01-07|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2022-01-08|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2022-01-09|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2022-01-10|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2022-01-11|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2022-01-12|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2022-01-13|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2022-01-14|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2022-01-15|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2022-01-16|165052.0|0|444942.0|0|474777.0|0|186092.0|0
0|2022-01-17|165052.0|0|444942.0|0|474777.0|0|186092.0|0
