|dates|Douglas_Oregon_UnitedStates.JHU_ConfirmedCases.data|Douglas_Oregon_UnitedStates.JHU_ConfirmedCases.missing|Douglas_Oregon_UnitedStates.NYT_ConfirmedCases.data|Douglas_Oregon_UnitedStates.NYT_ConfirmedCases.missing|Douglas_Oregon_UnitedStates.JHU_ConfirmedDeaths.data|Douglas_Oregon_UnitedStates.JHU_ConfirmedDeaths.missing|Douglas_Oregon_UnitedStates.JHU_ConfirmedRecoveries.data|Douglas_Oregon_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-12-18|13955.0|0|13955.0|0|310.0|0|0.0|100
0|2021-12-19|13955.0|0|13955.0|0|310.0|0|0.0|100
0|2021-12-20|14013.0|0|14013.0|0|310.0|0|0.0|100
0|2021-12-21|14038.0|0|14038.0|0|311.0|0|0.0|100
0|2021-12-22|14066.0|0|14066.0|0|312.0|0|0.0|100
0|2021-12-23|14092.0|0|14092.0|0|312.0|0|0.0|100
0|2021-12-24|14092.0|0|14092.0|0|312.0|0|0.0|100
0|2021-12-25|14092.0|0|14092.0|0|312.0|0|0.0|100
0|2021-12-26|14092.0|0|14092.0|0|312.0|0|0.0|100
0|2021-12-27|14143.0|0|14143.0|0|315.0|0|0.0|100
0|2021-12-28|14165.0|0|14165.0|0|315.0|0|0.0|100
0|2021-12-29|14212.0|0|14212.0|0|315.0|0|0.0|100
0|2021-12-30|14269.0|0|14269.0|0|315.0|0|0.0|100
0|2021-12-31|14269.0|0|14269.0|0|315.0|0|0.0|100
0|2022-01-01|14269.0|0|14269.0|0|315.0|0|0.0|100
0|2022-01-02|14269.0|0|14269.0|0|315.0|0|0.0|100
0|2022-01-03|14389.0|0|14389.0|0|315.0|0|0.0|100
0|2022-01-04|14441.0|0|14441.0|0|317.0|0|0.0|100
0|2022-01-05|14534.0|0|14534.0|0|317.0|0|0.0|100
0|2022-01-06|14626.0|0|14626.0|0|317.0|0|0.0|100
0|2022-01-07|14730.0|0|14730.0|0|317.0|0|0.0|100
0|2022-01-08|14730.0|0|14730.0|0|317.0|0|0.0|100
0|2022-01-09|14730.0|0|14730.0|0|317.0|0|0.0|100
0|2022-01-10|14866.0|0|14866.0|0|317.0|0|0.0|100
0|2022-01-11|14946.0|0|14946.0|0|318.0|0|0.0|100
0|2022-01-12|15098.0|0|15098.0|0|318.0|0|0.0|100
0|2022-01-13|15098.0|0|15329.0|0|318.0|0|0.0|100
0|2022-01-14|15407.0|0|15407.0|0|320.0|0|0.0|100
0|2022-01-15|15407.0|0|15407.0|0|320.0|0|0.0|100
0|2022-01-16|15407.0|0|15407.0|0|320.0|0|0.0|100
0|2022-01-17|15407.0|0|0.0|100|320.0|0|0.0|100
