|dates|Genesee_Michigan_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Genesee_Michigan_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Genesee_Michigan_UnitedStates.Male_Total_Population.data|Genesee_Michigan_UnitedStates.Male_Total_Population.missing|Genesee_Michigan_UnitedStates.Female_Total_Population.data|Genesee_Michigan_UnitedStates.Female_Total_Population.missing|Genesee_Michigan_UnitedStates.MaleAndFemale_Under18_Population.data|Genesee_Michigan_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-11-09|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-11-10|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-11-11|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-11-12|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-11-13|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-11-14|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-11-15|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-11-16|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-11-17|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-11-18|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-11-19|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-11-20|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-11-21|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-11-22|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-11-23|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-11-24|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-11-25|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-11-26|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-11-27|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-11-28|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-11-29|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-11-30|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-12-01|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-12-02|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-12-03|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-12-04|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-12-05|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-12-06|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-12-07|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-12-08|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-12-09|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-12-10|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-12-11|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-12-12|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-12-13|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-12-14|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-12-15|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-12-16|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-12-17|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-12-18|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-12-19|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-12-20|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-12-21|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-12-22|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-12-23|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-12-24|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-12-25|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-12-26|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-12-27|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-12-28|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-12-29|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-12-30|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2021-12-31|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2022-01-01|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2022-01-02|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2022-01-03|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2022-01-04|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2022-01-05|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2022-01-06|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2022-01-07|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2022-01-08|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2022-01-09|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2022-01-10|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2022-01-11|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2022-01-12|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2022-01-13|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2022-01-14|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2022-01-15|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2022-01-16|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2022-01-17|71136.0|0|196242.0|0|210650.0|0|91550.0|0
