|dates|Hand_SouthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Hand_SouthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Hand_SouthDakota_UnitedStates.Male_Total_Population.data|Hand_SouthDakota_UnitedStates.Male_Total_Population.missing|Hand_SouthDakota_UnitedStates.Female_Total_Population.data|Hand_SouthDakota_UnitedStates.Female_Total_Population.missing|Hand_SouthDakota_UnitedStates.MaleAndFemale_Under18_Population.data|Hand_SouthDakota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-11-10|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-11-11|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-11-12|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-11-13|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-11-14|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-11-15|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-11-16|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-11-17|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-11-18|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-11-19|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-11-20|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-11-21|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-11-22|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-11-23|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-11-24|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-11-25|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-11-26|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-11-27|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-11-28|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-11-29|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-11-30|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-12-01|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-12-02|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-12-03|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-12-04|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-12-05|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-12-06|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-12-07|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-12-08|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-12-09|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-12-10|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-12-11|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-12-12|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-12-13|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-12-14|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-12-15|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-12-16|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-12-17|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-12-18|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-12-19|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-12-20|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-12-21|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-12-22|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-12-23|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-12-24|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-12-25|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-12-26|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-12-27|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-12-28|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-12-29|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-12-30|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2021-12-31|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2022-01-01|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2022-01-02|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2022-01-03|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2022-01-04|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2022-01-05|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2022-01-06|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2022-01-07|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2022-01-08|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2022-01-09|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2022-01-10|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2022-01-11|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2022-01-12|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2022-01-13|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2022-01-14|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2022-01-15|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2022-01-16|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2022-01-17|826.0|0|1627.0|0|1635.0|0|715.0|0
