|dates|Haskell_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Haskell_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Haskell_Kansas_UnitedStates.Male_Total_Population.data|Haskell_Kansas_UnitedStates.Male_Total_Population.missing|Haskell_Kansas_UnitedStates.Female_Total_Population.data|Haskell_Kansas_UnitedStates.Female_Total_Population.missing|Haskell_Kansas_UnitedStates.MaleAndFemale_Under18_Population.data|Haskell_Kansas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-11-11|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-11-12|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-11-13|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-11-14|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-11-15|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-11-16|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-11-17|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-11-18|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-11-19|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-11-20|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-11-21|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-11-22|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-11-23|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-11-24|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-11-25|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-11-26|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-11-27|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-11-28|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-11-29|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-11-30|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-12-01|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-12-02|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-12-03|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-12-04|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-12-05|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-12-06|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-12-07|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-12-08|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-12-09|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-12-10|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-12-11|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-12-12|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-12-13|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-12-14|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-12-15|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-12-16|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-12-17|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-12-18|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-12-19|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-12-20|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-12-21|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-12-22|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-12-23|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-12-24|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-12-25|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-12-26|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-12-27|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-12-28|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-12-29|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-12-30|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2021-12-31|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2022-01-01|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2022-01-02|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2022-01-03|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2022-01-04|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2022-01-05|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2022-01-06|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2022-01-07|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2022-01-08|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2022-01-09|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2022-01-10|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2022-01-11|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2022-01-12|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2022-01-13|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2022-01-14|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2022-01-15|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2022-01-16|591.0|0|2008.0|0|1989.0|0|1125.0|0
0|2022-01-17|591.0|0|2008.0|0|1989.0|0|1125.0|0
