|dates|McNairy_Tennessee_UnitedStates.JHU_ConfirmedCases.data|McNairy_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|McNairy_Tennessee_UnitedStates.NYT_ConfirmedCases.data|McNairy_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|McNairy_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|McNairy_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|McNairy_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|McNairy_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-11-13|4706.0|0|4706.0|0|71.0|0|0.0|100
0|2021-11-14|4706.0|0|4706.0|0|71.0|0|0.0|100
0|2021-11-15|4714.0|0|4714.0|0|71.0|0|0.0|100
0|2021-11-16|4721.0|0|4721.0|0|71.0|0|0.0|100
0|2021-11-17|4731.0|0|4731.0|0|71.0|0|0.0|100
0|2021-11-18|4734.0|0|4734.0|0|71.0|0|0.0|100
0|2021-11-19|4744.0|0|4744.0|0|71.0|0|0.0|100
0|2021-11-20|4744.0|0|4744.0|0|71.0|0|0.0|100
0|2021-11-21|4744.0|0|4744.0|0|71.0|0|0.0|100
0|2021-11-22|4763.0|0|4763.0|0|71.0|0|0.0|100
0|2021-11-23|4777.0|0|4777.0|0|72.0|0|0.0|100
0|2021-11-24|4780.0|0|4780.0|0|72.0|0|0.0|100
0|2021-11-25|4780.0|0|4780.0|0|72.0|0|0.0|100
0|2021-11-26|4780.0|0|4780.0|0|72.0|0|0.0|100
0|2021-11-27|4780.0|0|4780.0|0|72.0|0|0.0|100
0|2021-11-28|4780.0|0|4780.0|0|72.0|0|0.0|100
0|2021-11-29|4798.0|0|4798.0|0|73.0|0|0.0|100
0|2021-11-30|4801.0|0|4801.0|0|73.0|0|0.0|100
0|2021-12-01|4807.0|0|4807.0|0|73.0|0|0.0|100
0|2021-12-02|4816.0|0|4816.0|0|74.0|0|0.0|100
0|2021-12-03|4821.0|0|4821.0|0|76.0|0|0.0|100
0|2021-12-04|4821.0|0|4821.0|0|76.0|0|0.0|100
0|2021-12-05|4821.0|0|4821.0|0|76.0|0|0.0|100
0|2021-12-06|4826.0|0|4826.0|0|76.0|0|0.0|100
0|2021-12-07|4832.0|0|4832.0|0|76.0|0|0.0|100
0|2021-12-08|4842.0|0|4842.0|0|76.0|0|0.0|100
0|2021-12-09|4842.0|0|4842.0|0|76.0|0|0.0|100
0|2021-12-10|4853.0|0|4853.0|0|77.0|0|0.0|100
0|2021-12-11|4853.0|0|4853.0|0|77.0|0|0.0|100
0|2021-12-12|4853.0|0|4853.0|0|77.0|0|0.0|100
0|2021-12-13|4861.0|0|4861.0|0|78.0|0|0.0|100
0|2021-12-14|4861.0|0|4861.0|0|78.0|0|0.0|100
0|2021-12-15|4864.0|0|4864.0|0|78.0|0|0.0|100
0|2021-12-16|4877.0|0|4877.0|0|78.0|0|0.0|100
0|2021-12-17|4881.0|0|4881.0|0|78.0|0|0.0|100
0|2021-12-18|4881.0|0|4881.0|0|78.0|0|0.0|100
0|2021-12-19|4881.0|0|4881.0|0|78.0|0|0.0|100
0|2021-12-20|4895.0|0|4895.0|0|78.0|0|0.0|100
0|2021-12-21|4902.0|0|4902.0|0|78.0|0|0.0|100
0|2021-12-22|4913.0|0|4913.0|0|79.0|0|0.0|100
0|2021-12-23|4922.0|0|4922.0|0|85.0|0|0.0|100
0|2021-12-24|4922.0|0|4922.0|0|85.0|0|0.0|100
0|2021-12-25|4922.0|0|4922.0|0|85.0|0|0.0|100
0|2021-12-26|4922.0|0|4922.0|0|85.0|0|0.0|100
0|2021-12-27|4939.0|0|4939.0|0|86.0|0|0.0|100
0|2021-12-28|4947.0|0|4947.0|0|86.0|0|0.0|100
0|2021-12-29|4968.0|0|4968.0|0|86.0|0|0.0|100
0|2021-12-30|5010.0|0|5010.0|0|86.0|0|0.0|100
0|2021-12-31|5010.0|0|5010.0|0|86.0|0|0.0|100
0|2022-01-01|5010.0|0|5010.0|0|86.0|0|0.0|100
0|2022-01-02|5010.0|0|5010.0|0|86.0|0|0.0|100
0|2022-01-03|5102.0|0|5102.0|0|86.0|0|0.0|100
0|2022-01-04|5128.0|0|5128.0|0|86.0|0|0.0|100
0|2022-01-05|5128.0|0|5128.0|0|86.0|0|0.0|100
0|2022-01-06|5128.0|0|5128.0|0|86.0|0|0.0|100
0|2022-01-07|5128.0|0|5128.0|0|86.0|0|0.0|100
0|2022-01-08|5128.0|0|5128.0|0|86.0|0|0.0|100
0|2022-01-09|5128.0|0|5128.0|0|86.0|0|0.0|100
0|2022-01-10|5128.0|0|5128.0|0|86.0|0|0.0|100
0|2022-01-11|5128.0|0|5128.0|0|86.0|0|0.0|100
0|2022-01-12|5358.0|0|5358.0|0|87.0|0|0.0|100
0|2022-01-13|5358.0|0|5358.0|0|87.0|0|0.0|100
0|2022-01-14|5358.0|0|5358.0|0|87.0|0|0.0|100
0|2022-01-15|5358.0|0|5358.0|0|87.0|0|0.0|100
0|2022-01-16|5358.0|0|5358.0|0|87.0|0|0.0|100
0|2022-01-17|5358.0|0|0.0|100|87.0|0|0.0|100
