|dates|Mineral_Colorado_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Mineral_Colorado_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Mineral_Colorado_UnitedStates.Male_Total_Population.data|Mineral_Colorado_UnitedStates.Male_Total_Population.missing|Mineral_Colorado_UnitedStates.Female_Total_Population.data|Mineral_Colorado_UnitedStates.Female_Total_Population.missing|Mineral_Colorado_UnitedStates.MaleAndFemale_Under18_Population.data|Mineral_Colorado_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-11-08|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-11-09|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-11-10|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-11-11|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-11-12|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-11-13|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-11-14|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-11-15|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-11-16|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-11-17|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-11-18|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-11-19|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-11-20|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-11-21|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-11-22|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-11-23|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-11-24|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-11-25|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-11-26|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-11-27|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-11-28|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-11-29|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-11-30|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-12-01|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-12-02|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-12-03|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-12-04|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-12-05|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-12-06|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-12-07|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-12-08|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-12-09|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-12-10|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-12-11|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-12-12|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-12-13|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-12-14|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-12-15|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-12-16|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-12-17|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-12-18|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-12-19|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-12-20|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-12-21|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-12-22|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-12-23|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-12-24|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-12-25|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-12-26|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-12-27|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-12-28|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-12-29|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-12-30|242.0|0|385.0|0|391.0|0|115.0|0
0|2021-12-31|242.0|0|385.0|0|391.0|0|115.0|0
0|2022-01-01|242.0|0|385.0|0|391.0|0|115.0|0
0|2022-01-02|242.0|0|385.0|0|391.0|0|115.0|0
0|2022-01-03|242.0|0|385.0|0|391.0|0|115.0|0
0|2022-01-04|242.0|0|385.0|0|391.0|0|115.0|0
0|2022-01-05|242.0|0|385.0|0|391.0|0|115.0|0
0|2022-01-06|242.0|0|385.0|0|391.0|0|115.0|0
0|2022-01-07|242.0|0|385.0|0|391.0|0|115.0|0
0|2022-01-08|242.0|0|385.0|0|391.0|0|115.0|0
0|2022-01-09|242.0|0|385.0|0|391.0|0|115.0|0
0|2022-01-10|242.0|0|385.0|0|391.0|0|115.0|0
0|2022-01-11|242.0|0|385.0|0|391.0|0|115.0|0
0|2022-01-12|242.0|0|385.0|0|391.0|0|115.0|0
0|2022-01-13|242.0|0|385.0|0|391.0|0|115.0|0
0|2022-01-14|242.0|0|385.0|0|391.0|0|115.0|0
0|2022-01-15|242.0|0|385.0|0|391.0|0|115.0|0
0|2022-01-16|242.0|0|385.0|0|391.0|0|115.0|0
0|2022-01-17|242.0|0|385.0|0|391.0|0|115.0|0
