|dates|Greeley_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Greeley_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Greeley_Nebraska_UnitedStates.Male_Total_Population.data|Greeley_Nebraska_UnitedStates.Male_Total_Population.missing|Greeley_Nebraska_UnitedStates.Female_Total_Population.data|Greeley_Nebraska_UnitedStates.Female_Total_Population.missing|Greeley_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.data|Greeley_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-12-05|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-12-06|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-12-07|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-12-08|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-12-09|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-12-10|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-12-11|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-12-12|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-12-13|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-12-14|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-12-15|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-12-16|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-12-17|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-12-18|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-12-19|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-12-20|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-12-21|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-12-22|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-12-23|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-12-24|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-12-25|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-12-26|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-12-27|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-12-28|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-12-29|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-12-30|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2021-12-31|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2022-01-01|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2022-01-02|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2022-01-03|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2022-01-04|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2022-01-05|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2022-01-06|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2022-01-07|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2022-01-08|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2022-01-09|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2022-01-10|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2022-01-11|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2022-01-12|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2022-01-13|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2022-01-14|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2022-01-15|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2022-01-16|604.0|0|1160.0|0|1196.0|0|536.0|0
0|2022-01-17|604.0|0|1160.0|0|1196.0|0|536.0|0
