|dates|Southampton_Virginia_UnitedStates.JHU_ConfirmedCases.data|Southampton_Virginia_UnitedStates.JHU_ConfirmedCases.missing|Southampton_Virginia_UnitedStates.NYT_ConfirmedCases.data|Southampton_Virginia_UnitedStates.NYT_ConfirmedCases.missing|Southampton_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|Southampton_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|Southampton_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|Southampton_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-11-10|2407.0|0|2407.0|0|67.0|0|0.0|100
0|2021-11-11|2409.0|0|2409.0|0|67.0|0|0.0|100
0|2021-11-12|2410.0|0|2410.0|0|67.0|0|0.0|100
0|2021-11-13|2410.0|0|2410.0|0|67.0|0|0.0|100
0|2021-11-14|2410.0|0|2410.0|0|67.0|0|0.0|100
0|2021-11-15|2414.0|0|2414.0|0|67.0|0|0.0|100
0|2021-11-16|2414.0|0|2414.0|0|67.0|0|0.0|100
0|2021-11-17|2418.0|0|2418.0|0|67.0|0|0.0|100
0|2021-11-18|2421.0|0|2421.0|0|67.0|0|0.0|100
0|2021-11-19|2424.0|0|2424.0|0|67.0|0|0.0|100
0|2021-11-20|2424.0|0|2424.0|0|67.0|0|0.0|100
0|2021-11-21|2424.0|0|2424.0|0|67.0|0|0.0|100
0|2021-11-22|2430.0|0|2430.0|0|67.0|0|0.0|100
0|2021-11-23|2433.0|0|2433.0|0|68.0|0|0.0|100
0|2021-11-24|2437.0|0|2437.0|0|68.0|0|0.0|100
0|2021-11-25|2434.0|0|2434.0|0|68.0|0|0.0|100
0|2021-11-26|2435.0|0|2435.0|0|68.0|0|0.0|100
0|2021-11-27|2435.0|0|2435.0|0|68.0|0|0.0|100
0|2021-11-28|2435.0|0|2435.0|0|68.0|0|0.0|100
0|2021-11-29|2437.0|0|2437.0|0|68.0|0|0.0|100
0|2021-11-30|2444.0|0|2444.0|0|68.0|0|0.0|100
0|2021-12-01|2445.0|0|2445.0|0|68.0|0|0.0|100
0|2021-12-02|2450.0|0|2450.0|0|68.0|0|0.0|100
0|2021-12-03|2465.0|0|2465.0|0|68.0|0|0.0|100
0|2021-12-04|2465.0|0|2465.0|0|68.0|0|0.0|100
0|2021-12-05|2465.0|0|2465.0|0|68.0|0|0.0|100
0|2021-12-06|2472.0|0|2472.0|0|69.0|0|0.0|100
0|2021-12-07|2475.0|0|2475.0|0|70.0|0|0.0|100
0|2021-12-08|2480.0|0|2480.0|0|70.0|0|0.0|100
0|2021-12-09|2480.0|0|2480.0|0|71.0|0|0.0|100
0|2021-12-10|2484.0|0|2484.0|0|71.0|0|0.0|100
0|2021-12-11|2484.0|0|2484.0|0|71.0|0|0.0|100
0|2021-12-12|2484.0|0|2484.0|0|71.0|0|0.0|100
0|2021-12-13|2488.0|0|2488.0|0|71.0|0|0.0|100
0|2021-12-14|2488.0|0|2493.0|0|71.0|0|0.0|100
0|2021-12-15|2492.0|0|2492.0|0|72.0|0|0.0|100
0|2021-12-16|2496.0|0|2496.0|0|72.0|0|0.0|100
0|2021-12-17|2497.0|0|2497.0|0|72.0|0|0.0|100
0|2021-12-18|2497.0|0|2497.0|0|72.0|0|0.0|100
0|2021-12-19|2497.0|0|2497.0|0|72.0|0|0.0|100
0|2021-12-20|2498.0|0|2498.0|0|72.0|0|0.0|100
0|2021-12-21|2500.0|0|2500.0|0|72.0|0|0.0|100
0|2021-12-22|2500.0|0|2505.0|0|72.0|0|0.0|100
0|2021-12-23|2506.0|0|2506.0|0|72.0|0|0.0|100
0|2021-12-24|2510.0|0|2510.0|0|72.0|0|0.0|100
0|2021-12-25|2510.0|0|2510.0|0|72.0|0|0.0|100
0|2021-12-26|2510.0|0|2510.0|0|72.0|0|0.0|100
0|2021-12-27|2517.0|0|2517.0|0|72.0|0|0.0|100
0|2021-12-28|2519.0|0|2519.0|0|73.0|0|0.0|100
0|2021-12-29|2534.0|0|2534.0|0|74.0|0|0.0|100
0|2021-12-30|2545.0|0|2545.0|0|74.0|0|0.0|100
0|2021-12-31|2559.0|0|2559.0|0|74.0|0|0.0|100
0|2022-01-01|2559.0|0|2559.0|0|74.0|0|0.0|100
0|2022-01-02|2559.0|0|2559.0|0|74.0|0|0.0|100
0|2022-01-03|2590.0|0|2590.0|0|74.0|0|0.0|100
0|2022-01-04|2607.0|0|2607.0|0|74.0|0|0.0|100
0|2022-01-05|2616.0|0|2616.0|0|74.0|0|0.0|100
0|2022-01-06|2634.0|0|2634.0|0|74.0|0|0.0|100
0|2022-01-07|2657.0|0|2657.0|0|74.0|0|0.0|100
0|2022-01-08|2657.0|0|2657.0|0|74.0|0|0.0|100
0|2022-01-09|2657.0|0|2657.0|0|74.0|0|0.0|100
0|2022-01-10|2713.0|0|2713.0|0|75.0|0|0.0|100
0|2022-01-11|2737.0|0|2737.0|0|75.0|0|0.0|100
0|2022-01-12|2780.0|0|2780.0|0|75.0|0|0.0|100
0|2022-01-13|2780.0|0|2804.0|0|75.0|0|0.0|100
0|2022-01-14|2821.0|0|2821.0|0|75.0|0|0.0|100
0|2022-01-15|2821.0|0|2821.0|0|75.0|0|0.0|100
0|2022-01-16|2821.0|0|2821.0|0|75.0|0|0.0|100
0|2022-01-17|2905.0|0|0.0|100|75.0|0|0.0|100
