|dates|Skagway_Alaska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Skagway_Alaska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Skagway_Alaska_UnitedStates.Male_Total_Population.data|Skagway_Alaska_UnitedStates.Male_Total_Population.missing|Skagway_Alaska_UnitedStates.Female_Total_Population.data|Skagway_Alaska_UnitedStates.Female_Total_Population.missing|Skagway_Alaska_UnitedStates.MaleAndFemale_Under18_Population.data|Skagway_Alaska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-12-22|167.0|0|597.0|0|551.0|0|182.0|0
0|2021-12-23|167.0|0|597.0|0|551.0|0|182.0|0
0|2021-12-24|167.0|0|597.0|0|551.0|0|182.0|0
0|2021-12-25|167.0|0|597.0|0|551.0|0|182.0|0
0|2021-12-26|167.0|0|597.0|0|551.0|0|182.0|0
0|2021-12-27|167.0|0|597.0|0|551.0|0|182.0|0
0|2021-12-28|167.0|0|597.0|0|551.0|0|182.0|0
0|2021-12-29|167.0|0|597.0|0|551.0|0|182.0|0
0|2021-12-30|167.0|0|597.0|0|551.0|0|182.0|0
0|2021-12-31|167.0|0|597.0|0|551.0|0|182.0|0
0|2022-01-01|167.0|0|597.0|0|551.0|0|182.0|0
0|2022-01-02|167.0|0|597.0|0|551.0|0|182.0|0
0|2022-01-03|167.0|0|597.0|0|551.0|0|182.0|0
0|2022-01-04|167.0|0|597.0|0|551.0|0|182.0|0
0|2022-01-05|167.0|0|597.0|0|551.0|0|182.0|0
0|2022-01-06|167.0|0|597.0|0|551.0|0|182.0|0
0|2022-01-07|167.0|0|597.0|0|551.0|0|182.0|0
0|2022-01-08|167.0|0|597.0|0|551.0|0|182.0|0
0|2022-01-09|167.0|0|597.0|0|551.0|0|182.0|0
0|2022-01-10|167.0|0|597.0|0|551.0|0|182.0|0
0|2022-01-11|167.0|0|597.0|0|551.0|0|182.0|0
0|2022-01-12|167.0|0|597.0|0|551.0|0|182.0|0
0|2022-01-13|167.0|0|597.0|0|551.0|0|182.0|0
0|2022-01-14|167.0|0|597.0|0|551.0|0|182.0|0
0|2022-01-15|167.0|0|597.0|0|551.0|0|182.0|0
0|2022-01-16|167.0|0|597.0|0|551.0|0|182.0|0
0|2022-01-17|167.0|0|597.0|0|551.0|0|182.0|0
