|dates|SanMiguel_NewMexico_UnitedStates.JHU_ConfirmedCases.data|SanMiguel_NewMexico_UnitedStates.JHU_ConfirmedCases.missing|SanMiguel_NewMexico_UnitedStates.NYT_ConfirmedCases.data|SanMiguel_NewMexico_UnitedStates.NYT_ConfirmedCases.missing|SanMiguel_NewMexico_UnitedStates.JHU_ConfirmedDeaths.data|SanMiguel_NewMexico_UnitedStates.JHU_ConfirmedDeaths.missing|SanMiguel_NewMexico_UnitedStates.JHU_ConfirmedRecoveries.data|SanMiguel_NewMexico_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-11-07|2698.0|0|2698.0|0|27.0|0|0.0|100
0|2021-11-08|2723.0|0|2723.0|0|27.0|0|0.0|100
0|2021-11-09|2731.0|0|2731.0|0|27.0|0|0.0|100
0|2021-11-10|2731.0|0|2739.0|0|27.0|0|0.0|100
0|2021-11-11|2739.0|0|2739.0|0|27.0|0|0.0|100
0|2021-11-12|2789.0|0|2789.0|0|28.0|0|0.0|100
0|2021-11-13|2789.0|0|2789.0|0|28.0|0|0.0|100
0|2021-11-14|2789.0|0|2789.0|0|28.0|0|0.0|100
0|2021-11-15|2825.0|0|2825.0|0|28.0|0|0.0|100
0|2021-11-16|2837.0|0|2837.0|0|28.0|0|0.0|100
0|2021-11-17|2868.0|0|2868.0|0|28.0|0|0.0|100
0|2021-11-18|2883.0|0|2883.0|0|28.0|0|0.0|100
0|2021-11-19|2905.0|0|2905.0|0|28.0|0|0.0|100
0|2021-11-20|2905.0|0|2905.0|0|28.0|0|0.0|100
0|2021-11-21|2905.0|0|2905.0|0|28.0|0|0.0|100
0|2021-11-22|2939.0|0|2939.0|0|29.0|0|0.0|100
0|2021-11-23|2952.0|0|2952.0|0|29.0|0|0.0|100
0|2021-11-24|2961.0|0|2961.0|0|29.0|0|0.0|100
0|2021-11-25|2961.0|0|2961.0|0|29.0|0|0.0|100
0|2021-11-26|2961.0|0|2961.0|0|29.0|0|0.0|100
0|2021-11-27|2961.0|0|2961.0|0|29.0|0|0.0|100
0|2021-11-28|2961.0|0|2961.0|0|29.0|0|0.0|100
0|2021-11-29|3019.0|0|3019.0|0|29.0|0|0.0|100
0|2021-11-30|3030.0|0|3030.0|0|29.0|0|0.0|100
0|2021-12-01|3047.0|0|3047.0|0|30.0|0|0.0|100
0|2021-12-02|3066.0|0|3066.0|0|30.0|0|0.0|100
0|2021-12-03|3066.0|0|3080.0|0|30.0|0|0.0|100
0|2021-12-04|3094.0|0|3094.0|0|30.0|0|0.0|100
0|2021-12-05|3094.0|0|3094.0|0|30.0|0|0.0|100
0|2021-12-06|3130.0|0|3130.0|0|31.0|0|0.0|100
0|2021-12-07|3137.0|0|3137.0|0|31.0|0|0.0|100
0|2021-12-08|3162.0|0|3162.0|0|31.0|0|0.0|100
0|2021-12-09|3171.0|0|3171.0|0|31.0|0|0.0|100
0|2021-12-10|3188.0|0|3180.0|0|31.0|0|0.0|100
0|2021-12-11|3188.0|0|3188.0|0|31.0|0|0.0|100
0|2021-12-12|3188.0|0|3188.0|0|31.0|0|0.0|100
0|2021-12-13|3220.0|0|3220.0|0|31.0|0|0.0|100
0|2021-12-14|3220.0|0|3225.0|0|31.0|0|0.0|100
0|2021-12-15|3249.0|0|3249.0|0|31.0|0|0.0|100
0|2021-12-16|3249.0|0|3257.0|0|31.0|0|0.0|100
0|2021-12-17|3282.0|0|3265.0|0|31.0|0|0.0|100
0|2021-12-18|3282.0|0|3282.0|0|31.0|0|0.0|100
0|2021-12-19|3282.0|0|3282.0|0|31.0|0|0.0|100
0|2021-12-20|3303.0|0|3303.0|0|33.0|0|0.0|100
0|2021-12-21|3316.0|0|3316.0|0|33.0|0|0.0|100
0|2021-12-22|3335.0|0|3335.0|0|33.0|0|0.0|100
0|2021-12-23|3347.0|0|3347.0|0|33.0|0|0.0|100
0|2021-12-24|3347.0|0|3347.0|0|33.0|0|0.0|100
0|2021-12-25|3347.0|0|3347.0|0|33.0|0|0.0|100
0|2021-12-26|3347.0|0|3347.0|0|33.0|0|0.0|100
0|2021-12-27|3376.0|0|3376.0|0|33.0|0|0.0|100
0|2021-12-28|3381.0|0|3381.0|0|34.0|0|0.0|100
0|2021-12-29|3397.0|0|3397.0|0|34.0|0|0.0|100
0|2021-12-30|3429.0|0|3429.0|0|34.0|0|0.0|100
0|2021-12-31|3429.0|0|3429.0|0|34.0|0|0.0|100
0|2022-01-01|3429.0|0|3429.0|0|34.0|0|0.0|100
0|2022-01-02|3429.0|0|3429.0|0|34.0|0|0.0|100
0|2022-01-03|3517.0|0|3517.0|0|34.0|0|0.0|100
0|2022-01-04|3547.0|0|3547.0|0|34.0|0|0.0|100
0|2022-01-05|3586.0|0|3586.0|0|37.0|0|0.0|100
0|2022-01-06|3636.0|0|3636.0|0|38.0|0|0.0|100
0|2022-01-07|3678.0|0|3678.0|0|38.0|0|0.0|100
0|2022-01-08|3678.0|0|3678.0|0|38.0|0|0.0|100
0|2022-01-09|3678.0|0|3678.0|0|38.0|0|0.0|100
0|2022-01-10|3797.0|0|3797.0|0|38.0|0|0.0|100
0|2022-01-11|3839.0|0|3839.0|0|38.0|0|0.0|100
0|2022-01-12|3917.0|0|3917.0|0|38.0|0|0.0|100
0|2022-01-13|3917.0|0|4036.0|0|38.0|0|0.0|100
0|2022-01-14|4089.0|0|4089.0|0|40.0|0|0.0|100
0|2022-01-15|4089.0|0|4089.0|0|40.0|0|0.0|100
0|2022-01-16|4089.0|0|4089.0|0|40.0|0|0.0|100
0|2022-01-17|4089.0|0|0.0|100|40.0|0|0.0|100
