|dates|Clinton_Pennsylvania_UnitedStates.JHU_ConfirmedCases.data|Clinton_Pennsylvania_UnitedStates.JHU_ConfirmedCases.missing|Clinton_Pennsylvania_UnitedStates.NYT_ConfirmedCases.data|Clinton_Pennsylvania_UnitedStates.NYT_ConfirmedCases.missing|Clinton_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.data|Clinton_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.missing|Clinton_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.data|Clinton_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2022-01-03|6911.0|0|6911.0|0|106.0|0|0.0|100
0|2022-01-04|6924.0|0|6924.0|0|107.0|0|0.0|100
0|2022-01-05|6968.0|0|6968.0|0|108.0|0|0.0|100
0|2022-01-06|7039.0|0|7039.0|0|108.0|0|0.0|100
0|2022-01-07|7117.0|0|7117.0|0|110.0|0|0.0|100
0|2022-01-08|7190.0|0|7190.0|0|110.0|0|0.0|100
0|2022-01-09|7277.0|0|7277.0|0|110.0|0|0.0|100
0|2022-01-10|7333.0|0|7333.0|0|110.0|0|0.0|100
0|2022-01-11|7384.0|0|7384.0|0|111.0|0|0.0|100
0|2022-01-12|7452.0|0|7452.0|0|113.0|0|0.0|100
0|2022-01-13|7452.0|0|7526.0|0|113.0|0|0.0|100
0|2022-01-14|7615.0|0|7615.0|0|115.0|0|0.0|100
0|2022-01-15|7648.0|0|7648.0|0|115.0|0|0.0|100
0|2022-01-16|7787.0|0|7787.0|0|115.0|0|0.0|100
0|2022-01-17|7816.0|0|0.0|100|115.0|0|0.0|100
