|dates|Mercer_Pennsylvania_UnitedStates.JHU_ConfirmedCases.data|Mercer_Pennsylvania_UnitedStates.JHU_ConfirmedCases.missing|Mercer_Pennsylvania_UnitedStates.NYT_ConfirmedCases.data|Mercer_Pennsylvania_UnitedStates.NYT_ConfirmedCases.missing|Mercer_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.data|Mercer_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.missing|Mercer_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.data|Mercer_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-12-05|16265.0|0|16265.0|0|377.0|0|0.0|100
0|2021-12-06|16315.0|0|16315.0|0|377.0|0|0.0|100
0|2021-12-07|16381.0|0|16381.0|0|379.0|0|0.0|100
0|2021-12-08|16485.0|0|16485.0|0|380.0|0|0.0|100
0|2021-12-09|16585.0|0|16585.0|0|381.0|0|0.0|100
0|2021-12-10|16686.0|0|16686.0|0|383.0|0|0.0|100
0|2021-12-11|16828.0|0|16828.0|0|384.0|0|0.0|100
0|2021-12-12|16907.0|0|16907.0|0|386.0|0|0.0|100
0|2021-12-13|16964.0|0|16964.0|0|386.0|0|0.0|100
0|2021-12-14|16964.0|0|17057.0|0|386.0|0|0.0|100
0|2021-12-15|17122.0|0|17122.0|0|392.0|0|0.0|100
0|2021-12-16|17163.0|0|17163.0|0|393.0|0|0.0|100
0|2021-12-17|17234.0|0|17234.0|0|396.0|0|0.0|100
0|2021-12-18|17326.0|0|17326.0|0|398.0|0|0.0|100
0|2021-12-19|17388.0|0|17388.0|0|398.0|0|0.0|100
0|2021-12-20|17462.0|0|17462.0|0|398.0|0|0.0|100
0|2021-12-21|17525.0|0|17525.0|0|406.0|0|0.0|100
0|2021-12-22|17560.0|0|17560.0|0|406.0|0|0.0|100
0|2021-12-23|17607.0|0|17607.0|0|421.0|0|0.0|100
0|2021-12-24|17694.0|0|17694.0|0|422.0|0|0.0|100
0|2021-12-25|17773.0|0|17773.0|0|422.0|0|0.0|100
0|2021-12-26|17802.0|0|17802.0|0|422.0|0|0.0|100
0|2021-12-27|17842.0|0|17842.0|0|423.0|0|0.0|100
0|2021-12-28|17900.0|0|17900.0|0|425.0|0|0.0|100
0|2021-12-29|17958.0|0|17958.0|0|425.0|0|0.0|100
0|2021-12-30|18058.0|0|18058.0|0|427.0|0|0.0|100
0|2021-12-31|18155.0|0|18155.0|0|430.0|0|0.0|100
0|2022-01-01|18306.0|0|18306.0|0|430.0|0|0.0|100
0|2022-01-02|18471.0|0|18471.0|0|430.0|0|0.0|100
0|2022-01-03|18546.0|0|18546.0|0|431.0|0|0.0|100
0|2022-01-04|18714.0|0|18714.0|0|433.0|0|0.0|100
0|2022-01-05|18911.0|0|18911.0|0|434.0|0|0.0|100
0|2022-01-06|19051.0|0|19051.0|0|437.0|0|0.0|100
0|2022-01-07|19197.0|0|19197.0|0|437.0|0|0.0|100
0|2022-01-08|19428.0|0|19428.0|0|437.0|0|0.0|100
0|2022-01-09|19590.0|0|19590.0|0|437.0|0|0.0|100
0|2022-01-10|19724.0|0|19724.0|0|437.0|0|0.0|100
0|2022-01-11|19865.0|0|19865.0|0|438.0|0|0.0|100
0|2022-01-12|20014.0|0|20014.0|0|440.0|0|0.0|100
0|2022-01-13|20014.0|0|20166.0|0|440.0|0|0.0|100
0|2022-01-14|20369.0|0|20369.0|0|441.0|0|0.0|100
0|2022-01-15|20660.0|0|20660.0|0|446.0|0|0.0|100
0|2022-01-16|20975.0|0|20975.0|0|446.0|0|0.0|100
0|2022-01-17|21091.0|0|0.0|100|446.0|0|0.0|100
