|dates|Loup_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Loup_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Loup_Nebraska_UnitedStates.Male_Total_Population.data|Loup_Nebraska_UnitedStates.Male_Total_Population.missing|Loup_Nebraska_UnitedStates.Female_Total_Population.data|Loup_Nebraska_UnitedStates.Female_Total_Population.missing|Loup_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.data|Loup_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-12-16|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-12-17|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-12-18|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-12-19|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-12-20|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-12-21|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-12-22|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-12-23|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-12-24|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-12-25|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-12-26|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-12-27|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-12-28|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-12-29|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-12-30|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-12-31|165.0|0|315.0|0|303.0|0|117.0|0
0|2022-01-01|165.0|0|315.0|0|303.0|0|117.0|0
0|2022-01-02|165.0|0|315.0|0|303.0|0|117.0|0
0|2022-01-03|165.0|0|315.0|0|303.0|0|117.0|0
0|2022-01-04|165.0|0|315.0|0|303.0|0|117.0|0
0|2022-01-05|165.0|0|315.0|0|303.0|0|117.0|0
0|2022-01-06|165.0|0|315.0|0|303.0|0|117.0|0
0|2022-01-07|165.0|0|315.0|0|303.0|0|117.0|0
0|2022-01-08|165.0|0|315.0|0|303.0|0|117.0|0
0|2022-01-09|165.0|0|315.0|0|303.0|0|117.0|0
0|2022-01-10|165.0|0|315.0|0|303.0|0|117.0|0
0|2022-01-11|165.0|0|315.0|0|303.0|0|117.0|0
0|2022-01-12|165.0|0|315.0|0|303.0|0|117.0|0
0|2022-01-13|165.0|0|315.0|0|303.0|0|117.0|0
0|2022-01-14|165.0|0|315.0|0|303.0|0|117.0|0
0|2022-01-15|165.0|0|315.0|0|303.0|0|117.0|0
0|2022-01-16|165.0|0|315.0|0|303.0|0|117.0|0
0|2022-01-17|165.0|0|315.0|0|303.0|0|117.0|0
