|dates|Kauai_Hawaii_UnitedStates.JHU_ConfirmedCases.data|Kauai_Hawaii_UnitedStates.JHU_ConfirmedCases.missing|Kauai_Hawaii_UnitedStates.NYT_ConfirmedCases.data|Kauai_Hawaii_UnitedStates.NYT_ConfirmedCases.missing|Kauai_Hawaii_UnitedStates.JHU_ConfirmedDeaths.data|Kauai_Hawaii_UnitedStates.JHU_ConfirmedDeaths.missing|Kauai_Hawaii_UnitedStates.JHU_ConfirmedRecoveries.data|Kauai_Hawaii_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-11-12|2860.0|0|2860.0|0|11.0|0|0.0|100
0|2021-11-13|2873.0|0|2873.0|0|11.0|0|0.0|100
0|2021-11-14|2879.0|0|2879.0|0|11.0|0|0.0|100
0|2021-11-15|2898.0|0|2898.0|0|11.0|0|0.0|100
0|2021-11-16|2902.0|0|2902.0|0|11.0|0|0.0|100
0|2021-11-17|2915.0|0|2915.0|0|13.0|0|0.0|100
0|2021-11-18|2936.0|0|2936.0|0|13.0|0|0.0|100
0|2021-11-19|2955.0|0|2955.0|0|13.0|0|0.0|100
0|2021-11-20|2974.0|0|2974.0|0|13.0|0|0.0|100
0|2021-11-21|2985.0|0|2985.0|0|13.0|0|0.0|100
0|2021-11-22|2997.0|0|2997.0|0|13.0|0|0.0|100
0|2021-11-23|3006.0|0|3006.0|0|13.0|0|0.0|100
0|2021-11-24|3029.0|0|3029.0|0|13.0|0|0.0|100
0|2021-11-25|3006.0|0|3033.0|0|13.0|0|0.0|100
0|2021-11-26|3034.0|0|3034.0|0|13.0|0|0.0|100
0|2021-11-27|3061.0|0|3061.0|0|13.0|0|0.0|100
0|2021-11-28|3071.0|0|3071.0|0|13.0|0|0.0|100
0|2021-11-29|3087.0|0|3087.0|0|13.0|0|0.0|100
0|2021-11-30|3113.0|0|3113.0|0|13.0|0|0.0|100
0|2021-12-01|3122.0|0|3122.0|0|13.0|0|0.0|100
0|2021-12-02|3122.0|0|3156.0|0|13.0|0|0.0|100
0|2021-12-03|3174.0|0|3174.0|0|13.0|0|0.0|100
0|2021-12-04|3186.0|0|3186.0|0|13.0|0|0.0|100
0|2021-12-05|3197.0|0|3197.0|0|13.0|0|0.0|100
0|2021-12-06|3210.0|0|3210.0|0|13.0|0|0.0|100
0|2021-12-07|3223.0|0|3223.0|0|13.0|0|0.0|100
0|2021-12-08|3228.0|0|3228.0|0|13.0|0|0.0|100
0|2021-12-09|3236.0|0|3236.0|0|13.0|0|0.0|100
0|2021-12-10|3241.0|0|3241.0|0|13.0|0|0.0|100
0|2021-12-11|3256.0|0|3256.0|0|13.0|0|0.0|100
0|2021-12-12|3267.0|0|3267.0|0|13.0|0|0.0|100
0|2021-12-13|3279.0|0|3279.0|0|13.0|0|0.0|100
0|2021-12-14|3279.0|0|3285.0|0|13.0|0|0.0|100
0|2021-12-15|3298.0|0|3298.0|0|13.0|0|0.0|100
0|2021-12-16|3305.0|0|3305.0|0|13.0|0|0.0|100
0|2021-12-17|3319.0|0|3319.0|0|13.0|0|0.0|100
0|2021-12-18|3341.0|0|3341.0|0|13.0|0|0.0|100
0|2021-12-19|3355.0|0|3355.0|0|14.0|0|0.0|100
0|2021-12-20|3376.0|0|3376.0|0|14.0|0|0.0|100
0|2021-12-21|3386.0|0|3386.0|0|14.0|0|0.0|100
0|2021-12-22|3393.0|0|3393.0|0|14.0|0|0.0|100
0|2021-12-23|3422.0|0|3422.0|0|15.0|0|0.0|100
0|2021-12-24|3489.0|0|3489.0|0|15.0|0|0.0|100
0|2021-12-25|3529.0|0|3529.0|0|18.0|0|0.0|100
0|2021-12-26|3529.0|0|3597.0|0|18.0|0|0.0|100
0|2021-12-27|3597.0|0|3620.0|0|18.0|0|0.0|100
0|2021-12-28|3637.0|0|3637.0|0|18.0|0|0.0|100
0|2021-12-29|3695.0|0|3695.0|0|18.0|0|0.0|100
0|2021-12-30|3842.0|0|3842.0|0|18.0|0|0.0|100
0|2021-12-31|3969.0|0|3969.0|0|18.0|0|0.0|100
0|2022-01-01|4046.0|0|4046.0|0|18.0|0|0.0|100
0|2022-01-02|4175.0|0|4175.0|0|18.0|0|0.0|100
0|2022-01-03|4299.0|0|4299.0|0|18.0|0|0.0|100
0|2022-01-04|4341.0|0|4341.0|0|18.0|0|0.0|100
0|2022-01-05|4452.0|0|4452.0|0|18.0|0|0.0|100
0|2022-01-06|4665.0|0|4665.0|0|18.0|0|0.0|100
0|2022-01-07|4902.0|0|4902.0|0|18.0|0|0.0|100
0|2022-01-08|5087.0|0|5087.0|0|18.0|0|0.0|100
0|2022-01-09|5313.0|0|5313.0|0|19.0|0|0.0|100
0|2022-01-10|5447.0|0|5447.0|0|19.0|0|0.0|100
0|2022-01-11|5627.0|0|5627.0|0|19.0|0|0.0|100
0|2022-01-12|5785.0|0|5785.0|0|20.0|0|0.0|100
0|2022-01-13|5785.0|0|5986.0|0|20.0|0|0.0|100
0|2022-01-14|6017.0|0|6017.0|0|20.0|0|0.0|100
0|2022-01-15|6283.0|0|6283.0|0|20.0|0|0.0|100
0|2022-01-16|6283.0|0|6513.0|0|20.0|0|0.0|100
0|2022-01-17|6694.0|0|0.0|100|20.0|0|0.0|100
