|dates|Ada_Idaho_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Ada_Idaho_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Ada_Idaho_UnitedStates.Male_Total_Population.data|Ada_Idaho_UnitedStates.Male_Total_Population.missing|Ada_Idaho_UnitedStates.Female_Total_Population.data|Ada_Idaho_UnitedStates.Female_Total_Population.missing|Ada_Idaho_UnitedStates.MaleAndFemale_Under18_Population.data|Ada_Idaho_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-12-03|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-12-04|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-12-05|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-12-06|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-12-07|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-12-08|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-12-09|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-12-10|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-12-11|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-12-12|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-12-13|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-12-14|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-12-15|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-12-16|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-12-17|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-12-18|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-12-19|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-12-20|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-12-21|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-12-22|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-12-23|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-12-24|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-12-25|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-12-26|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-12-27|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-12-28|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-12-29|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-12-30|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2021-12-31|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2022-01-01|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2022-01-02|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2022-01-03|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2022-01-04|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2022-01-05|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2022-01-06|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2022-01-07|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2022-01-08|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2022-01-09|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2022-01-10|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2022-01-11|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2022-01-12|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2022-01-13|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2022-01-14|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2022-01-15|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2022-01-16|67792.0|0|235266.0|0|234700.0|0|111737.0|0
0|2022-01-17|67792.0|0|235266.0|0|234700.0|0|111737.0|0
