|dates|Allegan_Michigan_UnitedStates.BLS_EmployedPopulation.data|Allegan_Michigan_UnitedStates.BLS_EmployedPopulation.missing|Allegan_Michigan_UnitedStates.BLS_UnemployedPopulation.data|Allegan_Michigan_UnitedStates.BLS_UnemployedPopulation.missing|Allegan_Michigan_UnitedStates.BLS_UnemploymentRate.data|Allegan_Michigan_UnitedStates.BLS_UnemploymentRate.missing|Allegan_Michigan_UnitedStates.BLS_LaborForcePopulation.data|Allegan_Michigan_UnitedStates.BLS_LaborForcePopulation.missing
0|2022-01-07|57811.0|0|2888.0|0|4.757903754592332|0|60699.0|0
0|2022-01-08|57811.0|0|2888.0|0|4.757903754592332|0|60699.0|0
0|2022-01-09|57811.0|0|2888.0|0|4.757903754592332|0|60699.0|0
0|2022-01-10|57811.0|0|2888.0|0|4.757903754592332|0|60699.0|0
0|2022-01-11|57811.0|0|2888.0|0|4.757903754592332|0|60699.0|0
0|2022-01-12|57811.0|0|2888.0|0|4.757903754592332|0|60699.0|0
0|2022-01-13|57811.0|0|2888.0|0|4.757903754592332|0|60699.0|0
0|2022-01-14|57811.0|0|2888.0|0|4.757903754592332|0|60699.0|0
0|2022-01-15|57811.0|0|2888.0|0|4.757903754592332|0|60699.0|0
0|2022-01-16|57811.0|0|2888.0|0|4.757903754592332|0|60699.0|0
0|2022-01-17|57811.0|0|2888.0|0|4.757903754592332|0|60699.0|0
