|dates|Lawrence_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Lawrence_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Lawrence_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Lawrence_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Lawrence_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Lawrence_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Lawrence_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Lawrence_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-11-06|2689.0|0|2689.0|0|40.0|0|0.0|100
0|2021-11-07|2689.0|0|2689.0|0|40.0|0|0.0|100
0|2021-11-08|2698.0|0|2698.0|0|40.0|0|0.0|100
0|2021-11-09|2702.0|0|2702.0|0|41.0|0|0.0|100
0|2021-11-10|2702.0|0|2712.0|0|41.0|0|0.0|100
0|2021-11-11|2712.0|0|2712.0|0|42.0|0|0.0|100
0|2021-11-12|2725.0|0|2725.0|0|42.0|0|0.0|100
0|2021-11-13|2725.0|0|2725.0|0|42.0|0|0.0|100
0|2021-11-14|2725.0|0|2725.0|0|42.0|0|0.0|100
0|2021-11-15|2731.0|0|2731.0|0|42.0|0|0.0|100
0|2021-11-16|2738.0|0|2738.0|0|42.0|0|0.0|100
0|2021-11-17|2743.0|0|2743.0|0|42.0|0|0.0|100
0|2021-11-18|2746.0|0|2746.0|0|42.0|0|0.0|100
0|2021-11-19|2755.0|0|2755.0|0|43.0|0|0.0|100
0|2021-11-20|2755.0|0|2755.0|0|43.0|0|0.0|100
0|2021-11-21|2755.0|0|2755.0|0|43.0|0|0.0|100
0|2021-11-22|2766.0|0|2766.0|0|43.0|0|0.0|100
0|2021-11-23|2791.0|0|2791.0|0|43.0|0|0.0|100
0|2021-11-24|2803.0|0|2803.0|0|44.0|0|0.0|100
0|2021-11-25|2803.0|0|2803.0|0|44.0|0|0.0|100
0|2021-11-26|2803.0|0|2803.0|0|44.0|0|0.0|100
0|2021-11-27|2803.0|0|2803.0|0|44.0|0|0.0|100
0|2021-11-28|2803.0|0|2803.0|0|44.0|0|0.0|100
0|2021-11-29|2842.0|0|2842.0|0|44.0|0|0.0|100
0|2021-11-30|2858.0|0|2858.0|0|44.0|0|0.0|100
0|2021-12-01|2887.0|0|2887.0|0|44.0|0|0.0|100
0|2021-12-02|2887.0|0|2898.0|0|44.0|0|0.0|100
0|2021-12-03|2918.0|0|2918.0|0|44.0|0|0.0|100
0|2021-12-04|2918.0|0|2918.0|0|44.0|0|0.0|100
0|2021-12-05|2918.0|0|2918.0|0|44.0|0|0.0|100
0|2021-12-06|2953.0|0|2953.0|0|44.0|0|0.0|100
0|2021-12-07|2972.0|0|2972.0|0|44.0|0|0.0|100
0|2021-12-08|2983.0|0|2983.0|0|44.0|0|0.0|100
0|2021-12-09|2993.0|0|2993.0|0|44.0|0|0.0|100
0|2021-12-10|3010.0|0|3010.0|0|44.0|0|0.0|100
0|2021-12-11|3010.0|0|3010.0|0|44.0|0|0.0|100
0|2021-12-12|3010.0|0|3010.0|0|44.0|0|0.0|100
0|2021-12-13|3037.0|0|3037.0|0|45.0|0|0.0|100
0|2021-12-14|3037.0|0|3055.0|0|45.0|0|0.0|100
0|2021-12-15|3071.0|0|3071.0|0|46.0|0|0.0|100
0|2021-12-16|3081.0|0|3081.0|0|46.0|0|0.0|100
0|2021-12-17|3088.0|0|3088.0|0|46.0|0|0.0|100
0|2021-12-18|3088.0|0|3088.0|0|46.0|0|0.0|100
0|2021-12-19|3088.0|0|3088.0|0|46.0|0|0.0|100
0|2021-12-20|3106.0|0|3106.0|0|47.0|0|0.0|100
0|2021-12-21|3115.0|0|3115.0|0|47.0|0|0.0|100
0|2021-12-22|3124.0|0|3124.0|0|48.0|0|0.0|100
0|2021-12-23|3124.0|0|3124.0|0|48.0|0|0.0|100
0|2021-12-24|3124.0|0|3124.0|0|48.0|0|0.0|100
0|2021-12-25|3124.0|0|3124.0|0|48.0|0|0.0|100
0|2021-12-26|3124.0|0|3124.0|0|48.0|0|0.0|100
0|2021-12-27|3145.0|0|3145.0|0|48.0|0|0.0|100
0|2021-12-28|3158.0|0|3158.0|0|48.0|0|0.0|100
0|2021-12-29|3167.0|0|3167.0|0|48.0|0|0.0|100
0|2021-12-30|3167.0|0|3167.0|0|48.0|0|0.0|100
0|2021-12-31|3167.0|0|3167.0|0|48.0|0|0.0|100
0|2022-01-01|3167.0|0|3167.0|0|48.0|0|0.0|100
0|2022-01-02|3167.0|0|3167.0|0|48.0|0|0.0|100
0|2022-01-03|3196.0|0|3196.0|0|48.0|0|0.0|100
0|2022-01-04|3204.0|0|3204.0|0|48.0|0|0.0|100
0|2022-01-05|3244.0|0|3244.0|0|48.0|0|0.0|100
0|2022-01-06|3257.0|0|3257.0|0|48.0|0|0.0|100
0|2022-01-07|3287.0|0|3287.0|0|48.0|0|0.0|100
0|2022-01-08|3287.0|0|3287.0|0|48.0|0|0.0|100
0|2022-01-09|3287.0|0|3287.0|0|48.0|0|0.0|100
0|2022-01-10|3302.0|0|3302.0|0|50.0|0|0.0|100
0|2022-01-11|3328.0|0|3328.0|0|50.0|0|0.0|100
0|2022-01-12|3342.0|0|3342.0|0|50.0|0|0.0|100
0|2022-01-13|3342.0|0|3363.0|0|50.0|0|0.0|100
0|2022-01-14|3385.0|0|3385.0|0|50.0|0|0.0|100
0|2022-01-15|3385.0|0|3385.0|0|50.0|0|0.0|100
0|2022-01-16|3385.0|0|3385.0|0|50.0|0|0.0|100
0|2022-01-17|3385.0|0|0.0|100|50.0|0|0.0|100
