|dates|Lander_Nevada_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Lander_Nevada_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Lander_Nevada_UnitedStates.Male_Total_Population.data|Lander_Nevada_UnitedStates.Male_Total_Population.missing|Lander_Nevada_UnitedStates.Female_Total_Population.data|Lander_Nevada_UnitedStates.Female_Total_Population.missing|Lander_Nevada_UnitedStates.MaleAndFemale_Under18_Population.data|Lander_Nevada_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-11-11|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2021-11-12|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2021-11-13|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2021-11-14|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2021-11-15|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2021-11-16|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2021-11-17|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2021-11-18|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2021-11-19|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2021-11-20|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2021-11-21|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2021-11-22|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2021-11-23|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2021-11-24|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2021-11-25|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2021-11-26|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2021-11-27|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2021-11-28|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2021-11-29|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2021-11-30|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2021-12-01|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2021-12-02|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2021-12-03|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2021-12-04|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2021-12-05|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2021-12-06|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2021-12-07|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2021-12-08|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2021-12-09|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2021-12-10|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2021-12-11|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2021-12-12|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2021-12-13|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2021-12-14|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2021-12-15|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2021-12-16|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2021-12-17|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2021-12-18|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2021-12-19|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2021-12-20|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2021-12-21|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2021-12-22|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2021-12-23|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2021-12-24|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2021-12-25|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2021-12-26|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2021-12-27|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2021-12-28|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2021-12-29|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2021-12-30|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2021-12-31|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2022-01-01|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2022-01-02|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2022-01-03|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2022-01-04|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2022-01-05|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2022-01-06|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2022-01-07|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2022-01-08|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2022-01-09|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2022-01-10|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2022-01-11|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2022-01-12|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2022-01-13|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2022-01-14|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2022-01-15|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2022-01-16|882.0|0|2855.0|0|2720.0|0|1482.0|0
0|2022-01-17|882.0|0|2855.0|0|2720.0|0|1482.0|0
