|dates|Morrill_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Morrill_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Morrill_Nebraska_UnitedStates.Male_Total_Population.data|Morrill_Nebraska_UnitedStates.Male_Total_Population.missing|Morrill_Nebraska_UnitedStates.Female_Total_Population.data|Morrill_Nebraska_UnitedStates.Female_Total_Population.missing|Morrill_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.data|Morrill_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-12-03|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-12-04|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-12-05|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-12-06|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-12-07|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-12-08|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-12-09|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-12-10|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-12-11|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-12-12|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-12-13|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-12-14|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-12-15|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-12-16|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-12-17|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-12-18|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-12-19|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-12-20|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-12-21|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-12-22|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-12-23|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-12-24|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-12-25|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-12-26|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-12-27|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-12-28|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-12-29|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-12-30|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2021-12-31|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2022-01-01|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2022-01-02|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2022-01-03|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2022-01-04|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2022-01-05|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2022-01-06|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2022-01-07|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2022-01-08|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2022-01-09|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2022-01-10|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2022-01-11|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2022-01-12|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2022-01-13|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2022-01-14|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2022-01-15|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2022-01-16|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2022-01-17|993.0|0|2405.0|0|2281.0|0|1081.0|0
