|dates|Unicoi_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Unicoi_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Unicoi_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Unicoi_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Unicoi_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Unicoi_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Unicoi_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Unicoi_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-12-05|3264.0|0|3264.0|0|68.0|0|0.0|100
0|2021-12-06|3276.0|0|3276.0|0|68.0|0|0.0|100
0|2021-12-07|3282.0|0|3282.0|0|69.0|0|0.0|100
0|2021-12-08|3291.0|0|3291.0|0|69.0|0|0.0|100
0|2021-12-09|3291.0|0|3291.0|0|69.0|0|0.0|100
0|2021-12-10|3309.0|0|3309.0|0|69.0|0|0.0|100
0|2021-12-11|3309.0|0|3309.0|0|69.0|0|0.0|100
0|2021-12-12|3309.0|0|3309.0|0|69.0|0|0.0|100
0|2021-12-13|3317.0|0|3317.0|0|69.0|0|0.0|100
0|2021-12-14|3317.0|0|3325.0|0|69.0|0|0.0|100
0|2021-12-15|3326.0|0|3326.0|0|71.0|0|0.0|100
0|2021-12-16|3338.0|0|3338.0|0|71.0|0|0.0|100
0|2021-12-17|3341.0|0|3341.0|0|71.0|0|0.0|100
0|2021-12-18|3341.0|0|3341.0|0|71.0|0|0.0|100
0|2021-12-19|3341.0|0|3341.0|0|71.0|0|0.0|100
0|2021-12-20|3351.0|0|3351.0|0|71.0|0|0.0|100
0|2021-12-21|3361.0|0|3361.0|0|73.0|0|0.0|100
0|2021-12-22|3365.0|0|3365.0|0|73.0|0|0.0|100
0|2021-12-23|3375.0|0|3375.0|0|78.0|0|0.0|100
0|2021-12-24|3375.0|0|3375.0|0|78.0|0|0.0|100
0|2021-12-25|3375.0|0|3375.0|0|78.0|0|0.0|100
0|2021-12-26|3375.0|0|3375.0|0|78.0|0|0.0|100
0|2021-12-27|3383.0|0|3383.0|0|79.0|0|0.0|100
0|2021-12-28|3390.0|0|3390.0|0|79.0|0|0.0|100
0|2021-12-29|3398.0|0|3398.0|0|79.0|0|0.0|100
0|2021-12-30|3426.0|0|3426.0|0|79.0|0|0.0|100
0|2021-12-31|3426.0|0|3426.0|0|79.0|0|0.0|100
0|2022-01-01|3426.0|0|3426.0|0|79.0|0|0.0|100
0|2022-01-02|3426.0|0|3426.0|0|79.0|0|0.0|100
0|2022-01-03|3474.0|0|3474.0|0|79.0|0|0.0|100
0|2022-01-04|3485.0|0|3485.0|0|79.0|0|0.0|100
0|2022-01-05|3485.0|0|3485.0|0|79.0|0|0.0|100
0|2022-01-06|3485.0|0|3485.0|0|79.0|0|0.0|100
0|2022-01-07|3485.0|0|3485.0|0|79.0|0|0.0|100
0|2022-01-08|3485.0|0|3485.0|0|79.0|0|0.0|100
0|2022-01-09|3485.0|0|3485.0|0|79.0|0|0.0|100
0|2022-01-10|3485.0|0|3485.0|0|79.0|0|0.0|100
0|2022-01-11|3485.0|0|3485.0|0|79.0|0|0.0|100
0|2022-01-12|3593.0|0|3593.0|0|81.0|0|0.0|100
0|2022-01-13|3593.0|0|3593.0|0|81.0|0|0.0|100
0|2022-01-14|3593.0|0|3593.0|0|81.0|0|0.0|100
0|2022-01-15|3593.0|0|3593.0|0|81.0|0|0.0|100
0|2022-01-16|3593.0|0|3593.0|0|81.0|0|0.0|100
0|2022-01-17|3593.0|0|0.0|100|81.0|0|0.0|100
