|dates|Benton_Mississippi_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Benton_Mississippi_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Benton_Mississippi_UnitedStates.Male_Total_Population.data|Benton_Mississippi_UnitedStates.Male_Total_Population.missing|Benton_Mississippi_UnitedStates.Female_Total_Population.data|Benton_Mississippi_UnitedStates.Female_Total_Population.missing|Benton_Mississippi_UnitedStates.MaleAndFemale_Under18_Population.data|Benton_Mississippi_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-12-21|1547.0|0|4100.0|0|4171.0|0|1793.0|0
0|2021-12-22|1547.0|0|4100.0|0|4171.0|0|1793.0|0
0|2021-12-23|1547.0|0|4100.0|0|4171.0|0|1793.0|0
0|2021-12-24|1547.0|0|4100.0|0|4171.0|0|1793.0|0
0|2021-12-25|1547.0|0|4100.0|0|4171.0|0|1793.0|0
0|2021-12-26|1547.0|0|4100.0|0|4171.0|0|1793.0|0
0|2021-12-27|1547.0|0|4100.0|0|4171.0|0|1793.0|0
0|2021-12-28|1547.0|0|4100.0|0|4171.0|0|1793.0|0
0|2021-12-29|1547.0|0|4100.0|0|4171.0|0|1793.0|0
0|2021-12-30|1547.0|0|4100.0|0|4171.0|0|1793.0|0
0|2021-12-31|1547.0|0|4100.0|0|4171.0|0|1793.0|0
0|2022-01-01|1547.0|0|4100.0|0|4171.0|0|1793.0|0
0|2022-01-02|1547.0|0|4100.0|0|4171.0|0|1793.0|0
0|2022-01-03|1547.0|0|4100.0|0|4171.0|0|1793.0|0
0|2022-01-04|1547.0|0|4100.0|0|4171.0|0|1793.0|0
0|2022-01-05|1547.0|0|4100.0|0|4171.0|0|1793.0|0
0|2022-01-06|1547.0|0|4100.0|0|4171.0|0|1793.0|0
0|2022-01-07|1547.0|0|4100.0|0|4171.0|0|1793.0|0
0|2022-01-08|1547.0|0|4100.0|0|4171.0|0|1793.0|0
0|2022-01-09|1547.0|0|4100.0|0|4171.0|0|1793.0|0
0|2022-01-10|1547.0|0|4100.0|0|4171.0|0|1793.0|0
0|2022-01-11|1547.0|0|4100.0|0|4171.0|0|1793.0|0
0|2022-01-12|1547.0|0|4100.0|0|4171.0|0|1793.0|0
0|2022-01-13|1547.0|0|4100.0|0|4171.0|0|1793.0|0
0|2022-01-14|1547.0|0|4100.0|0|4171.0|0|1793.0|0
0|2022-01-15|1547.0|0|4100.0|0|4171.0|0|1793.0|0
0|2022-01-16|1547.0|0|4100.0|0|4171.0|0|1793.0|0
0|2022-01-17|1547.0|0|4100.0|0|4171.0|0|1793.0|0
