|dates|Forsyth_NorthCarolina_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Forsyth_NorthCarolina_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Forsyth_NorthCarolina_UnitedStates.Male_Total_Population.data|Forsyth_NorthCarolina_UnitedStates.Male_Total_Population.missing|Forsyth_NorthCarolina_UnitedStates.Female_Total_Population.data|Forsyth_NorthCarolina_UnitedStates.Female_Total_Population.missing|Forsyth_NorthCarolina_UnitedStates.MaleAndFemale_Under18_Population.data|Forsyth_NorthCarolina_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2022-01-08|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2022-01-09|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2022-01-10|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2022-01-11|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2022-01-12|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2022-01-13|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2022-01-14|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2022-01-15|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2022-01-16|60617.0|0|179783.0|0|199316.0|0|86957.0|0
0|2022-01-17|60617.0|0|179783.0|0|199316.0|0|86957.0|0
