|dates|Saline_Kansas_UnitedStates.JHU_ConfirmedCases.data|Saline_Kansas_UnitedStates.JHU_ConfirmedCases.missing|Saline_Kansas_UnitedStates.NYT_ConfirmedCases.data|Saline_Kansas_UnitedStates.NYT_ConfirmedCases.missing|Saline_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|Saline_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|Saline_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|Saline_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-11-13|8813.0|0|8813.0|0|186.0|0|0.0|100
0|2021-11-14|8813.0|0|8813.0|0|186.0|0|0.0|100
0|2021-11-15|8863.0|0|8863.0|0|186.0|0|0.0|100
0|2021-11-16|8863.0|0|8863.0|0|186.0|0|0.0|100
0|2021-11-17|8911.0|0|8911.0|0|187.0|0|0.0|100
0|2021-11-18|8911.0|0|8911.0|0|187.0|0|0.0|100
0|2021-11-19|8964.0|0|8964.0|0|186.0|0|0.0|100
0|2021-11-20|8964.0|0|8964.0|0|186.0|0|0.0|100
0|2021-11-21|8964.0|0|8964.0|0|186.0|0|0.0|100
0|2021-11-22|9003.0|0|9003.0|0|186.0|0|0.0|100
0|2021-11-23|9003.0|0|9003.0|0|186.0|0|0.0|100
0|2021-11-24|9003.0|0|9069.0|0|186.0|0|0.0|100
0|2021-11-25|9069.0|0|9069.0|0|185.0|0|0.0|100
0|2021-11-26|9069.0|0|9069.0|0|185.0|0|0.0|100
0|2021-11-27|9069.0|0|9069.0|0|185.0|0|0.0|100
0|2021-11-28|9069.0|0|9069.0|0|185.0|0|0.0|100
0|2021-11-29|9143.0|0|9143.0|0|185.0|0|0.0|100
0|2021-11-30|9143.0|0|9143.0|0|185.0|0|0.0|100
0|2021-12-01|9209.0|0|9209.0|0|185.0|0|0.0|100
0|2021-12-02|9209.0|0|9209.0|0|185.0|0|0.0|100
0|2021-12-03|9209.0|0|9309.0|0|185.0|0|0.0|100
0|2021-12-04|9309.0|0|9309.0|0|185.0|0|0.0|100
0|2021-12-05|9309.0|0|9309.0|0|185.0|0|0.0|100
0|2021-12-06|9378.0|0|9378.0|0|185.0|0|0.0|100
0|2021-12-07|9378.0|0|9378.0|0|185.0|0|0.0|100
0|2021-12-08|9472.0|0|9472.0|0|185.0|0|0.0|100
0|2021-12-09|9472.0|0|9472.0|0|185.0|0|0.0|100
0|2021-12-10|9552.0|0|9552.0|0|185.0|0|0.0|100
0|2021-12-11|9552.0|0|9552.0|0|185.0|0|0.0|100
0|2021-12-12|9552.0|0|9552.0|0|185.0|0|0.0|100
0|2021-12-13|9598.0|0|9598.0|0|185.0|0|0.0|100
0|2021-12-14|9598.0|0|9598.0|0|185.0|0|0.0|100
0|2021-12-15|9654.0|0|9654.0|0|185.0|0|0.0|100
0|2021-12-16|9654.0|0|9654.0|0|185.0|0|0.0|100
0|2021-12-17|9727.0|0|9727.0|0|185.0|0|0.0|100
0|2021-12-18|9727.0|0|9727.0|0|185.0|0|0.0|100
0|2021-12-19|9727.0|0|9727.0|0|185.0|0|0.0|100
0|2021-12-20|9754.0|0|9754.0|0|185.0|0|0.0|100
0|2021-12-21|9754.0|0|9754.0|0|185.0|0|0.0|100
0|2021-12-22|9825.0|0|9825.0|0|185.0|0|0.0|100
0|2021-12-23|9825.0|0|9825.0|0|185.0|0|0.0|100
0|2021-12-24|9825.0|0|9825.0|0|185.0|0|0.0|100
0|2021-12-25|9825.0|0|9825.0|0|185.0|0|0.0|100
0|2021-12-26|9825.0|0|9825.0|0|185.0|0|0.0|100
0|2021-12-27|9930.0|0|9930.0|0|185.0|0|0.0|100
0|2021-12-28|9930.0|0|9930.0|0|185.0|0|0.0|100
0|2021-12-29|9999.0|0|9999.0|0|185.0|0|0.0|100
0|2021-12-30|9999.0|0|9999.0|0|185.0|0|0.0|100
0|2021-12-31|9999.0|0|9999.0|0|185.0|0|0.0|100
0|2022-01-01|9999.0|0|9999.0|0|185.0|0|0.0|100
0|2022-01-02|9999.0|0|9999.0|0|185.0|0|0.0|100
0|2022-01-03|10234.0|0|10234.0|0|185.0|0|0.0|100
0|2022-01-04|10234.0|0|10234.0|0|185.0|0|0.0|100
0|2022-01-05|10425.0|0|10425.0|0|185.0|0|0.0|100
0|2022-01-06|10425.0|0|10425.0|0|185.0|0|0.0|100
0|2022-01-07|10697.0|0|10697.0|0|205.0|0|0.0|100
0|2022-01-08|10697.0|0|10697.0|0|205.0|0|0.0|100
0|2022-01-09|10697.0|0|10697.0|0|205.0|0|0.0|100
0|2022-01-10|10829.0|0|10829.0|0|205.0|0|0.0|100
0|2022-01-11|10829.0|0|10829.0|0|205.0|0|0.0|100
0|2022-01-12|10829.0|0|11012.0|0|205.0|0|0.0|100
0|2022-01-13|10829.0|0|11194.0|0|205.0|0|0.0|100
0|2022-01-14|11504.0|0|11504.0|0|206.0|0|0.0|100
0|2022-01-15|11504.0|0|11504.0|0|206.0|0|0.0|100
0|2022-01-16|11504.0|0|11504.0|0|206.0|0|0.0|100
0|2022-01-17|11504.0|0|0.0|100|206.0|0|0.0|100
