|dates|Grant_NorthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Grant_NorthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Grant_NorthDakota_UnitedStates.Male_Total_Population.data|Grant_NorthDakota_UnitedStates.Male_Total_Population.missing|Grant_NorthDakota_UnitedStates.Female_Total_Population.data|Grant_NorthDakota_UnitedStates.Female_Total_Population.missing|Grant_NorthDakota_UnitedStates.MaleAndFemale_Under18_Population.data|Grant_NorthDakota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-11-22|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-11-23|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-11-24|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-11-25|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-11-26|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-11-27|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-11-28|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-11-29|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-11-30|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-12-01|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-12-02|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-12-03|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-12-04|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-12-05|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-12-06|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-12-07|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-12-08|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-12-09|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-12-10|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-12-11|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-12-12|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-12-13|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-12-14|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-12-15|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-12-16|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-12-17|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-12-18|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-12-19|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-12-20|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-12-21|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-12-22|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-12-23|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-12-24|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-12-25|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-12-26|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-12-27|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-12-28|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-12-29|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-12-30|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2021-12-31|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2022-01-01|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2022-01-02|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2022-01-03|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2022-01-04|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2022-01-05|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2022-01-06|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2022-01-07|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2022-01-08|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2022-01-09|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2022-01-10|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2022-01-11|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2022-01-12|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2022-01-13|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2022-01-14|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2022-01-15|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2022-01-16|710.0|0|1185.0|0|1189.0|0|488.0|0
0|2022-01-17|710.0|0|1185.0|0|1189.0|0|488.0|0
