|dates|Hooker_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Hooker_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Hooker_Nebraska_UnitedStates.Male_Total_Population.data|Hooker_Nebraska_UnitedStates.Male_Total_Population.missing|Hooker_Nebraska_UnitedStates.Female_Total_Population.data|Hooker_Nebraska_UnitedStates.Female_Total_Population.missing|Hooker_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.data|Hooker_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-11-22|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-11-23|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-11-24|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-11-25|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-11-26|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-11-27|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-11-28|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-11-29|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-11-30|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-12-01|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-12-02|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-12-03|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-12-04|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-12-05|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-12-06|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-12-07|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-12-08|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-12-09|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-12-10|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-12-11|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-12-12|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-12-13|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-12-14|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-12-15|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-12-16|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-12-17|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-12-18|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-12-19|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-12-20|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-12-21|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-12-22|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-12-23|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-12-24|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-12-25|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-12-26|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-12-27|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-12-28|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-12-29|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-12-30|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-12-31|208.0|0|329.0|0|353.0|0|151.0|0
0|2022-01-01|208.0|0|329.0|0|353.0|0|151.0|0
0|2022-01-02|208.0|0|329.0|0|353.0|0|151.0|0
0|2022-01-03|208.0|0|329.0|0|353.0|0|151.0|0
0|2022-01-04|208.0|0|329.0|0|353.0|0|151.0|0
0|2022-01-05|208.0|0|329.0|0|353.0|0|151.0|0
0|2022-01-06|208.0|0|329.0|0|353.0|0|151.0|0
0|2022-01-07|208.0|0|329.0|0|353.0|0|151.0|0
0|2022-01-08|208.0|0|329.0|0|353.0|0|151.0|0
0|2022-01-09|208.0|0|329.0|0|353.0|0|151.0|0
0|2022-01-10|208.0|0|329.0|0|353.0|0|151.0|0
0|2022-01-11|208.0|0|329.0|0|353.0|0|151.0|0
0|2022-01-12|208.0|0|329.0|0|353.0|0|151.0|0
0|2022-01-13|208.0|0|329.0|0|353.0|0|151.0|0
0|2022-01-14|208.0|0|329.0|0|353.0|0|151.0|0
0|2022-01-15|208.0|0|329.0|0|353.0|0|151.0|0
0|2022-01-16|208.0|0|329.0|0|353.0|0|151.0|0
0|2022-01-17|208.0|0|329.0|0|353.0|0|151.0|0
