|dates|Windham_Vermont_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Windham_Vermont_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Windham_Vermont_UnitedStates.Male_Total_Population.data|Windham_Vermont_UnitedStates.Male_Total_Population.missing|Windham_Vermont_UnitedStates.Female_Total_Population.data|Windham_Vermont_UnitedStates.Female_Total_Population.missing|Windham_Vermont_UnitedStates.MaleAndFemale_Under18_Population.data|Windham_Vermont_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-11-21|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-11-22|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-11-23|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-11-24|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-11-25|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-11-26|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-11-27|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-11-28|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-11-29|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-11-30|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-12-01|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-12-02|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-12-03|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-12-04|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-12-05|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-12-06|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-12-07|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-12-08|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-12-09|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-12-10|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-12-11|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-12-12|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-12-13|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-12-14|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-12-15|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-12-16|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-12-17|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-12-18|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-12-19|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-12-20|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-12-21|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-12-22|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-12-23|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-12-24|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-12-25|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-12-26|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-12-27|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-12-28|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-12-29|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-12-30|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-12-31|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2022-01-01|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2022-01-02|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2022-01-03|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2022-01-04|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2022-01-05|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2022-01-06|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2022-01-07|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2022-01-08|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2022-01-09|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2022-01-10|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2022-01-11|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2022-01-12|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2022-01-13|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2022-01-14|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2022-01-15|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2022-01-16|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2022-01-17|9757.0|0|20919.0|0|21837.0|0|7636.0|0
