|dates|Brule_SouthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Brule_SouthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Brule_SouthDakota_UnitedStates.Male_Total_Population.data|Brule_SouthDakota_UnitedStates.Male_Total_Population.missing|Brule_SouthDakota_UnitedStates.Female_Total_Population.data|Brule_SouthDakota_UnitedStates.Female_Total_Population.missing|Brule_SouthDakota_UnitedStates.MaleAndFemale_Under18_Population.data|Brule_SouthDakota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-12-12|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-12-13|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-12-14|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-12-15|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-12-16|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-12-17|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-12-18|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-12-19|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-12-20|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-12-21|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-12-22|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-12-23|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-12-24|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-12-25|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-12-26|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-12-27|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-12-28|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-12-29|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-12-30|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-12-31|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2022-01-01|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2022-01-02|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2022-01-03|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2022-01-04|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2022-01-05|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2022-01-06|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2022-01-07|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2022-01-08|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2022-01-09|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2022-01-10|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2022-01-11|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2022-01-12|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2022-01-13|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2022-01-14|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2022-01-15|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2022-01-16|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2022-01-17|992.0|0|2612.0|0|2617.0|0|1365.0|0
