|dates|Hanson_SouthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Hanson_SouthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Hanson_SouthDakota_UnitedStates.Male_Total_Population.data|Hanson_SouthDakota_UnitedStates.Male_Total_Population.missing|Hanson_SouthDakota_UnitedStates.Female_Total_Population.data|Hanson_SouthDakota_UnitedStates.Female_Total_Population.missing|Hanson_SouthDakota_UnitedStates.MaleAndFemale_Under18_Population.data|Hanson_SouthDakota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-12-30|521.0|0|1690.0|0|1686.0|0|1032.0|0
0|2021-12-31|521.0|0|1690.0|0|1686.0|0|1032.0|0
0|2022-01-01|521.0|0|1690.0|0|1686.0|0|1032.0|0
0|2022-01-02|521.0|0|1690.0|0|1686.0|0|1032.0|0
0|2022-01-03|521.0|0|1690.0|0|1686.0|0|1032.0|0
0|2022-01-04|521.0|0|1690.0|0|1686.0|0|1032.0|0
0|2022-01-05|521.0|0|1690.0|0|1686.0|0|1032.0|0
0|2022-01-06|521.0|0|1690.0|0|1686.0|0|1032.0|0
0|2022-01-07|521.0|0|1690.0|0|1686.0|0|1032.0|0
0|2022-01-08|521.0|0|1690.0|0|1686.0|0|1032.0|0
0|2022-01-09|521.0|0|1690.0|0|1686.0|0|1032.0|0
0|2022-01-10|521.0|0|1690.0|0|1686.0|0|1032.0|0
0|2022-01-11|521.0|0|1690.0|0|1686.0|0|1032.0|0
0|2022-01-12|521.0|0|1690.0|0|1686.0|0|1032.0|0
0|2022-01-13|521.0|0|1690.0|0|1686.0|0|1032.0|0
0|2022-01-14|521.0|0|1690.0|0|1686.0|0|1032.0|0
0|2022-01-15|521.0|0|1690.0|0|1686.0|0|1032.0|0
0|2022-01-16|521.0|0|1690.0|0|1686.0|0|1032.0|0
0|2022-01-17|521.0|0|1690.0|0|1686.0|0|1032.0|0
