|dates|Stearns_Minnesota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Stearns_Minnesota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Stearns_Minnesota_UnitedStates.Male_Total_Population.data|Stearns_Minnesota_UnitedStates.Male_Total_Population.missing|Stearns_Minnesota_UnitedStates.Female_Total_Population.data|Stearns_Minnesota_UnitedStates.Female_Total_Population.missing|Stearns_Minnesota_UnitedStates.MaleAndFemale_Under18_Population.data|Stearns_Minnesota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-11-24|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-11-25|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-11-26|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-11-27|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-11-28|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-11-29|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-11-30|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-12-01|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-12-02|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-12-03|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-12-04|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-12-05|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-12-06|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-12-07|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-12-08|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-12-09|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-12-10|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-12-11|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-12-12|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-12-13|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-12-14|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-12-15|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-12-16|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-12-17|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-12-18|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-12-19|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-12-20|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-12-21|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-12-22|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-12-23|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-12-24|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-12-25|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-12-26|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-12-27|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-12-28|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-12-29|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-12-30|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-12-31|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2022-01-01|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2022-01-02|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2022-01-03|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2022-01-04|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2022-01-05|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2022-01-06|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2022-01-07|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2022-01-08|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2022-01-09|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2022-01-10|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2022-01-11|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2022-01-12|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2022-01-13|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2022-01-14|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2022-01-15|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2022-01-16|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2022-01-17|24079.0|0|80406.0|0|78850.0|0|36701.0|0
