|dates|Harding_NewMexico_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Harding_NewMexico_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Harding_NewMexico_UnitedStates.Male_Total_Population.data|Harding_NewMexico_UnitedStates.Male_Total_Population.missing|Harding_NewMexico_UnitedStates.Female_Total_Population.data|Harding_NewMexico_UnitedStates.Female_Total_Population.missing|Harding_NewMexico_UnitedStates.MaleAndFemale_Under18_Population.data|Harding_NewMexico_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-11-08|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-11-09|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-11-10|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-11-11|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-11-12|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-11-13|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-11-14|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-11-15|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-11-16|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-11-17|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-11-18|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-11-19|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-11-20|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-11-21|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-11-22|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-11-23|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-11-24|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-11-25|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-11-26|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-11-27|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-11-28|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-11-29|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-11-30|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-12-01|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-12-02|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-12-03|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-12-04|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-12-05|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-12-06|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-12-07|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-12-08|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-12-09|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-12-10|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-12-11|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-12-12|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-12-13|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-12-14|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-12-15|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-12-16|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-12-17|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-12-18|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-12-19|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-12-20|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-12-21|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-12-22|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-12-23|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-12-24|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-12-25|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-12-26|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-12-27|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-12-28|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-12-29|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-12-30|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-12-31|247.0|0|335.0|0|320.0|0|80.0|0
0|2022-01-01|247.0|0|335.0|0|320.0|0|80.0|0
0|2022-01-02|247.0|0|335.0|0|320.0|0|80.0|0
0|2022-01-03|247.0|0|335.0|0|320.0|0|80.0|0
0|2022-01-04|247.0|0|335.0|0|320.0|0|80.0|0
0|2022-01-05|247.0|0|335.0|0|320.0|0|80.0|0
0|2022-01-06|247.0|0|335.0|0|320.0|0|80.0|0
0|2022-01-07|247.0|0|335.0|0|320.0|0|80.0|0
0|2022-01-08|247.0|0|335.0|0|320.0|0|80.0|0
0|2022-01-09|247.0|0|335.0|0|320.0|0|80.0|0
0|2022-01-10|247.0|0|335.0|0|320.0|0|80.0|0
0|2022-01-11|247.0|0|335.0|0|320.0|0|80.0|0
0|2022-01-12|247.0|0|335.0|0|320.0|0|80.0|0
0|2022-01-13|247.0|0|335.0|0|320.0|0|80.0|0
0|2022-01-14|247.0|0|335.0|0|320.0|0|80.0|0
0|2022-01-15|247.0|0|335.0|0|320.0|0|80.0|0
0|2022-01-16|247.0|0|335.0|0|320.0|0|80.0|0
0|2022-01-17|247.0|0|335.0|0|320.0|0|80.0|0
