|dates|Sebastian_Arkansas_UnitedStates.JHU_ConfirmedCases.data|Sebastian_Arkansas_UnitedStates.JHU_ConfirmedCases.missing|Sebastian_Arkansas_UnitedStates.NYT_ConfirmedCases.data|Sebastian_Arkansas_UnitedStates.NYT_ConfirmedCases.missing|Sebastian_Arkansas_UnitedStates.JHU_ConfirmedDeaths.data|Sebastian_Arkansas_UnitedStates.JHU_ConfirmedDeaths.missing|Sebastian_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.data|Sebastian_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-12-09|23518.0|0|23518.0|0|400.0|0|0.0|100
0|2021-12-10|23574.0|0|23574.0|0|401.0|0|0.0|100
0|2021-12-11|23598.0|0|23598.0|0|403.0|0|0.0|100
0|2021-12-12|23608.0|0|23608.0|0|404.0|0|0.0|100
0|2021-12-13|23627.0|0|23627.0|0|405.0|0|0.0|100
0|2021-12-14|23627.0|0|23692.0|0|405.0|0|0.0|100
0|2021-12-15|23736.0|0|23736.0|0|408.0|0|0.0|100
0|2021-12-16|23762.0|0|23762.0|0|409.0|0|0.0|100
0|2021-12-17|23845.0|0|23845.0|0|411.0|0|0.0|100
0|2021-12-18|23865.0|0|23865.0|0|411.0|0|0.0|100
0|2021-12-19|23877.0|0|23877.0|0|413.0|0|0.0|100
0|2021-12-20|23894.0|0|23894.0|0|413.0|0|0.0|100
0|2021-12-21|23928.0|0|23928.0|0|413.0|0|0.0|100
0|2021-12-22|23938.0|0|23938.0|0|414.0|0|0.0|100
0|2021-12-23|23967.0|0|23967.0|0|414.0|0|0.0|100
0|2021-12-24|24009.0|0|24009.0|0|414.0|0|0.0|100
0|2021-12-25|24028.0|0|24028.0|0|414.0|0|0.0|100
0|2021-12-26|24040.0|0|24040.0|0|414.0|0|0.0|100
0|2021-12-27|24090.0|0|24090.0|0|414.0|0|0.0|100
0|2021-12-28|24131.0|0|24131.0|0|414.0|0|0.0|100
0|2021-12-29|24199.0|0|24199.0|0|414.0|0|0.0|100
0|2021-12-30|24304.0|0|24304.0|0|415.0|0|0.0|100
0|2021-12-31|24355.0|0|24355.0|0|415.0|0|0.0|100
0|2022-01-01|24428.0|0|24428.0|0|414.0|0|0.0|100
0|2022-01-02|24462.0|0|24462.0|0|414.0|0|0.0|100
0|2022-01-03|24517.0|0|24517.0|0|414.0|0|0.0|100
0|2022-01-04|24730.0|0|24730.0|0|413.0|0|0.0|100
0|2022-01-05|24947.0|0|24947.0|0|413.0|0|0.0|100
0|2022-01-06|25085.0|0|25085.0|0|413.0|0|0.0|100
0|2022-01-07|25367.0|0|25367.0|0|413.0|0|0.0|100
0|2022-01-08|25584.0|0|25584.0|0|413.0|0|0.0|100
0|2022-01-09|25584.0|0|25584.0|0|413.0|0|0.0|100
0|2022-01-10|25840.0|0|25840.0|0|415.0|0|0.0|100
0|2022-01-11|26213.0|0|26213.0|0|416.0|0|0.0|100
0|2022-01-12|26489.0|0|26489.0|0|416.0|0|0.0|100
0|2022-01-13|26489.0|0|26818.0|0|416.0|0|0.0|100
0|2022-01-14|27287.0|0|27287.0|0|417.0|0|0.0|100
0|2022-01-15|27606.0|0|27606.0|0|418.0|0|0.0|100
0|2022-01-16|27755.0|0|27755.0|0|419.0|0|0.0|100
0|2022-01-17|27845.0|0|0.0|100|419.0|0|0.0|100
