|dates|Kootenai_Idaho_UnitedStates.JHU_ConfirmedCases.data|Kootenai_Idaho_UnitedStates.JHU_ConfirmedCases.missing|Kootenai_Idaho_UnitedStates.NYT_ConfirmedCases.data|Kootenai_Idaho_UnitedStates.NYT_ConfirmedCases.missing|Kootenai_Idaho_UnitedStates.JHU_ConfirmedDeaths.data|Kootenai_Idaho_UnitedStates.JHU_ConfirmedDeaths.missing|Kootenai_Idaho_UnitedStates.JHU_ConfirmedRecoveries.data|Kootenai_Idaho_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2022-01-03|32398.0|0|32398.0|0|488.0|0|0.0|100
0|2022-01-04|32585.0|0|32585.0|0|490.0|0|0.0|100
0|2022-01-05|32686.0|0|32686.0|0|490.0|0|0.0|100
0|2022-01-06|32773.0|0|32773.0|0|498.0|0|0.0|100
0|2022-01-07|32966.0|0|32966.0|0|499.0|0|0.0|100
0|2022-01-08|33033.0|0|33033.0|0|499.0|0|0.0|100
0|2022-01-09|33033.0|0|33033.0|0|499.0|0|0.0|100
0|2022-01-10|33129.0|0|33129.0|0|499.0|0|0.0|100
0|2022-01-11|33289.0|0|33289.0|0|499.0|0|0.0|100
0|2022-01-12|33491.0|0|33491.0|0|503.0|0|0.0|100
0|2022-01-13|33491.0|0|33608.0|0|503.0|0|0.0|100
0|2022-01-14|33831.0|0|33831.0|0|505.0|0|0.0|100
0|2022-01-15|33902.0|0|33902.0|0|507.0|0|0.0|100
0|2022-01-16|33902.0|0|33902.0|0|507.0|0|0.0|100
0|2022-01-17|33902.0|0|0.0|100|507.0|0|0.0|100
