|dates|Burke_NorthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Burke_NorthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Burke_NorthDakota_UnitedStates.Male_Total_Population.data|Burke_NorthDakota_UnitedStates.Male_Total_Population.missing|Burke_NorthDakota_UnitedStates.Female_Total_Population.data|Burke_NorthDakota_UnitedStates.Female_Total_Population.missing|Burke_NorthDakota_UnitedStates.MaleAndFemale_Under18_Population.data|Burke_NorthDakota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-11-09|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-11-10|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-11-11|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-11-12|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-11-13|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-11-14|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-11-15|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-11-16|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-11-17|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-11-18|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-11-19|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-11-20|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-11-21|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-11-22|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-11-23|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-11-24|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-11-25|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-11-26|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-11-27|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-11-28|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-11-29|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-11-30|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-12-01|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-12-02|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-12-03|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-12-04|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-12-05|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-12-06|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-12-07|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-12-08|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-12-09|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-12-10|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-12-11|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-12-12|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-12-13|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-12-14|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-12-15|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-12-16|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-12-17|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-12-18|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-12-19|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-12-20|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-12-21|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-12-22|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-12-23|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-12-24|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-12-25|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-12-26|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-12-27|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-12-28|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-12-29|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-12-30|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2021-12-31|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2022-01-01|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2022-01-02|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2022-01-03|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2022-01-04|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2022-01-05|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2022-01-06|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2022-01-07|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2022-01-08|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2022-01-09|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2022-01-10|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2022-01-11|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2022-01-12|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2022-01-13|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2022-01-14|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2022-01-15|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2022-01-16|436.0|0|1095.0|0|1005.0|0|526.0|0
0|2022-01-17|436.0|0|1095.0|0|1005.0|0|526.0|0
