|dates|Ashtabula_Ohio_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Ashtabula_Ohio_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Ashtabula_Ohio_UnitedStates.Male_Total_Population.data|Ashtabula_Ohio_UnitedStates.Male_Total_Population.missing|Ashtabula_Ohio_UnitedStates.Female_Total_Population.data|Ashtabula_Ohio_UnitedStates.Female_Total_Population.missing|Ashtabula_Ohio_UnitedStates.MaleAndFemale_Under18_Population.data|Ashtabula_Ohio_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-11-14|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-11-15|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-11-16|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-11-17|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-11-18|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-11-19|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-11-20|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-11-21|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-11-22|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-11-23|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-11-24|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-11-25|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-11-26|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-11-27|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-11-28|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-11-29|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-11-30|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-12-01|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-12-02|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-12-03|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-12-04|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-12-05|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-12-06|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-12-07|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-12-08|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-12-09|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-12-10|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-12-11|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-12-12|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-12-13|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-12-14|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-12-15|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-12-16|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-12-17|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-12-18|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-12-19|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-12-20|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-12-21|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-12-22|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-12-23|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-12-24|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-12-25|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-12-26|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-12-27|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-12-28|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-12-29|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-12-30|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2021-12-31|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2022-01-01|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2022-01-02|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2022-01-03|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2022-01-04|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2022-01-05|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2022-01-06|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2022-01-07|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2022-01-08|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2022-01-09|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2022-01-10|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2022-01-11|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2022-01-12|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2022-01-13|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2022-01-14|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2022-01-15|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2022-01-16|18589.0|0|49141.0|0|48352.0|0|21521.0|0
0|2022-01-17|18589.0|0|49141.0|0|48352.0|0|21521.0|0
