|dates|Marin_California_UnitedStates.JHU_ConfirmedCases.data|Marin_California_UnitedStates.JHU_ConfirmedCases.missing|Marin_California_UnitedStates.NYT_ConfirmedCases.data|Marin_California_UnitedStates.NYT_ConfirmedCases.missing|Marin_California_UnitedStates.JHU_ConfirmedDeaths.data|Marin_California_UnitedStates.JHU_ConfirmedDeaths.missing|Marin_California_UnitedStates.JHU_ConfirmedRecoveries.data|Marin_California_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-11-30|18465.0|0|18465.0|0|249.0|0|0.0|100
0|2021-12-01|18495.0|0|18495.0|0|249.0|0|0.0|100
0|2021-12-02|18550.0|0|18550.0|0|249.0|0|0.0|100
0|2021-12-03|18587.0|0|18587.0|0|249.0|0|0.0|100
0|2021-12-04|18587.0|0|18587.0|0|249.0|0|0.0|100
0|2021-12-05|18587.0|0|18587.0|0|249.0|0|0.0|100
0|2021-12-06|18728.0|0|18728.0|0|249.0|0|0.0|100
0|2021-12-07|18728.0|0|18764.0|0|249.0|0|0.0|100
0|2021-12-08|18796.0|0|18796.0|0|249.0|0|0.0|100
0|2021-12-09|18861.0|0|18861.0|0|249.0|0|0.0|100
0|2021-12-10|18895.0|0|18895.0|0|249.0|0|0.0|100
0|2021-12-11|18895.0|0|18895.0|0|249.0|0|0.0|100
0|2021-12-12|18895.0|0|18895.0|0|249.0|0|0.0|100
0|2021-12-13|19007.0|0|19007.0|0|249.0|0|0.0|100
0|2021-12-14|19007.0|0|19027.0|0|249.0|0|0.0|100
0|2021-12-15|19047.0|0|19047.0|0|249.0|0|0.0|100
0|2021-12-16|19093.0|0|19093.0|0|249.0|0|0.0|100
0|2021-12-17|19116.0|0|19116.0|0|249.0|0|0.0|100
0|2021-12-18|19116.0|0|19116.0|0|249.0|0|0.0|100
0|2021-12-19|19116.0|0|19116.0|0|249.0|0|0.0|100
0|2021-12-20|19286.0|0|19286.0|0|249.0|0|0.0|100
0|2021-12-21|19326.0|0|19326.0|0|249.0|0|0.0|100
0|2021-12-22|19407.0|0|19407.0|0|249.0|0|0.0|100
0|2021-12-23|19528.0|0|19528.0|0|249.0|0|0.0|100
0|2021-12-24|19686.0|0|19686.0|0|249.0|0|0.0|100
0|2021-12-25|19686.0|0|19686.0|0|249.0|0|0.0|100
0|2021-12-26|19686.0|0|19686.0|0|249.0|0|0.0|100
0|2021-12-27|19686.0|0|19686.0|0|249.0|0|0.0|100
0|2021-12-28|20202.0|0|20202.0|0|249.0|0|0.0|100
0|2021-12-29|20340.0|0|20340.0|0|249.0|0|0.0|100
0|2021-12-30|20761.0|0|20761.0|0|249.0|0|0.0|100
0|2021-12-31|21211.0|0|21211.0|0|249.0|0|0.0|100
0|2022-01-01|21211.0|0|21211.0|0|249.0|0|0.0|100
0|2022-01-02|21211.0|0|21211.0|0|249.0|0|0.0|100
0|2022-01-03|21211.0|0|21211.0|0|249.0|0|0.0|100
0|2022-01-04|22268.0|0|22268.0|0|251.0|0|0.0|100
0|2022-01-05|22411.0|0|22411.0|0|251.0|0|0.0|100
0|2022-01-06|22830.0|0|22830.0|0|251.0|0|0.0|100
0|2022-01-07|23378.0|0|23378.0|0|251.0|0|0.0|100
0|2022-01-08|23378.0|0|23378.0|0|251.0|0|0.0|100
0|2022-01-09|23378.0|0|23378.0|0|251.0|0|0.0|100
0|2022-01-10|24709.0|0|24709.0|0|251.0|0|0.0|100
0|2022-01-11|25024.0|0|25024.0|0|251.0|0|0.0|100
0|2022-01-12|26028.0|0|25388.0|0|251.0|0|0.0|100
0|2022-01-13|26028.0|0|26028.0|0|251.0|0|0.0|100
0|2022-01-14|26572.0|0|26572.0|0|251.0|0|0.0|100
0|2022-01-15|26572.0|0|26572.0|0|251.0|0|0.0|100
0|2022-01-16|26572.0|0|26572.0|0|251.0|0|0.0|100
0|2022-01-17|27616.0|0|0.0|100|251.0|0|0.0|100
