|dates|Stonewall_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Stonewall_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Stonewall_Texas_UnitedStates.Male_Total_Population.data|Stonewall_Texas_UnitedStates.Male_Total_Population.missing|Stonewall_Texas_UnitedStates.Female_Total_Population.data|Stonewall_Texas_UnitedStates.Female_Total_Population.missing|Stonewall_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Stonewall_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-12-14|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-12-15|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-12-16|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-12-17|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-12-18|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-12-19|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-12-20|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-12-21|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-12-22|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-12-23|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-12-24|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-12-25|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-12-26|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-12-27|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-12-28|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-12-29|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-12-30|361.0|0|665.0|0|697.0|0|303.0|0
0|2021-12-31|361.0|0|665.0|0|697.0|0|303.0|0
0|2022-01-01|361.0|0|665.0|0|697.0|0|303.0|0
0|2022-01-02|361.0|0|665.0|0|697.0|0|303.0|0
0|2022-01-03|361.0|0|665.0|0|697.0|0|303.0|0
0|2022-01-04|361.0|0|665.0|0|697.0|0|303.0|0
0|2022-01-05|361.0|0|665.0|0|697.0|0|303.0|0
0|2022-01-06|361.0|0|665.0|0|697.0|0|303.0|0
0|2022-01-07|361.0|0|665.0|0|697.0|0|303.0|0
0|2022-01-08|361.0|0|665.0|0|697.0|0|303.0|0
0|2022-01-09|361.0|0|665.0|0|697.0|0|303.0|0
0|2022-01-10|361.0|0|665.0|0|697.0|0|303.0|0
0|2022-01-11|361.0|0|665.0|0|697.0|0|303.0|0
0|2022-01-12|361.0|0|665.0|0|697.0|0|303.0|0
0|2022-01-13|361.0|0|665.0|0|697.0|0|303.0|0
0|2022-01-14|361.0|0|665.0|0|697.0|0|303.0|0
0|2022-01-15|361.0|0|665.0|0|697.0|0|303.0|0
0|2022-01-16|361.0|0|665.0|0|697.0|0|303.0|0
0|2022-01-17|361.0|0|665.0|0|697.0|0|303.0|0
