|dates|Mississippi_Missouri_UnitedStates.JHU_ConfirmedCases.data|Mississippi_Missouri_UnitedStates.JHU_ConfirmedCases.missing|Mississippi_Missouri_UnitedStates.NYT_ConfirmedCases.data|Mississippi_Missouri_UnitedStates.NYT_ConfirmedCases.missing|Mississippi_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|Mississippi_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|Mississippi_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|Mississippi_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2022-01-08|2609.0|0|2609.0|0|50.0|0|0.0|100
0|2022-01-09|2609.0|0|2609.0|0|50.0|0|0.0|100
0|2022-01-10|2624.0|0|2624.0|0|50.0|0|0.0|100
0|2022-01-11|2636.0|0|2636.0|0|51.0|0|0.0|100
0|2022-01-12|2654.0|0|2654.0|0|51.0|0|0.0|100
0|2022-01-13|2654.0|0|2675.0|0|51.0|0|0.0|100
0|2022-01-14|2679.0|0|2679.0|0|51.0|0|0.0|100
0|2022-01-15|2710.0|0|2710.0|0|51.0|0|0.0|100
0|2022-01-16|2710.0|0|2710.0|0|51.0|0|0.0|100
0|2022-01-17|2710.0|0|0.0|100|51.0|0|0.0|100
