|dates|Ellis_Oklahoma_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Ellis_Oklahoma_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Ellis_Oklahoma_UnitedStates.Male_Total_Population.data|Ellis_Oklahoma_UnitedStates.Male_Total_Population.missing|Ellis_Oklahoma_UnitedStates.Female_Total_Population.data|Ellis_Oklahoma_UnitedStates.Female_Total_Population.missing|Ellis_Oklahoma_UnitedStates.MaleAndFemale_Under18_Population.data|Ellis_Oklahoma_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-11-28|886.0|0|1940.0|0|2012.0|0|914.0|0
0|2021-11-29|886.0|0|1940.0|0|2012.0|0|914.0|0
0|2021-11-30|886.0|0|1940.0|0|2012.0|0|914.0|0
0|2021-12-01|886.0|0|1940.0|0|2012.0|0|914.0|0
0|2021-12-02|886.0|0|1940.0|0|2012.0|0|914.0|0
0|2021-12-03|886.0|0|1940.0|0|2012.0|0|914.0|0
0|2021-12-04|886.0|0|1940.0|0|2012.0|0|914.0|0
0|2021-12-05|886.0|0|1940.0|0|2012.0|0|914.0|0
0|2021-12-06|886.0|0|1940.0|0|2012.0|0|914.0|0
0|2021-12-07|886.0|0|1940.0|0|2012.0|0|914.0|0
0|2021-12-08|886.0|0|1940.0|0|2012.0|0|914.0|0
0|2021-12-09|886.0|0|1940.0|0|2012.0|0|914.0|0
0|2021-12-10|886.0|0|1940.0|0|2012.0|0|914.0|0
0|2021-12-11|886.0|0|1940.0|0|2012.0|0|914.0|0
0|2021-12-12|886.0|0|1940.0|0|2012.0|0|914.0|0
0|2021-12-13|886.0|0|1940.0|0|2012.0|0|914.0|0
0|2021-12-14|886.0|0|1940.0|0|2012.0|0|914.0|0
0|2021-12-15|886.0|0|1940.0|0|2012.0|0|914.0|0
0|2021-12-16|886.0|0|1940.0|0|2012.0|0|914.0|0
0|2021-12-17|886.0|0|1940.0|0|2012.0|0|914.0|0
0|2021-12-18|886.0|0|1940.0|0|2012.0|0|914.0|0
0|2021-12-19|886.0|0|1940.0|0|2012.0|0|914.0|0
0|2021-12-20|886.0|0|1940.0|0|2012.0|0|914.0|0
0|2021-12-21|886.0|0|1940.0|0|2012.0|0|914.0|0
0|2021-12-22|886.0|0|1940.0|0|2012.0|0|914.0|0
0|2021-12-23|886.0|0|1940.0|0|2012.0|0|914.0|0
0|2021-12-24|886.0|0|1940.0|0|2012.0|0|914.0|0
0|2021-12-25|886.0|0|1940.0|0|2012.0|0|914.0|0
0|2021-12-26|886.0|0|1940.0|0|2012.0|0|914.0|0
0|2021-12-27|886.0|0|1940.0|0|2012.0|0|914.0|0
0|2021-12-28|886.0|0|1940.0|0|2012.0|0|914.0|0
0|2021-12-29|886.0|0|1940.0|0|2012.0|0|914.0|0
0|2021-12-30|886.0|0|1940.0|0|2012.0|0|914.0|0
0|2021-12-31|886.0|0|1940.0|0|2012.0|0|914.0|0
0|2022-01-01|886.0|0|1940.0|0|2012.0|0|914.0|0
0|2022-01-02|886.0|0|1940.0|0|2012.0|0|914.0|0
0|2022-01-03|886.0|0|1940.0|0|2012.0|0|914.0|0
0|2022-01-04|886.0|0|1940.0|0|2012.0|0|914.0|0
0|2022-01-05|886.0|0|1940.0|0|2012.0|0|914.0|0
0|2022-01-06|886.0|0|1940.0|0|2012.0|0|914.0|0
0|2022-01-07|886.0|0|1940.0|0|2012.0|0|914.0|0
0|2022-01-08|886.0|0|1940.0|0|2012.0|0|914.0|0
0|2022-01-09|886.0|0|1940.0|0|2012.0|0|914.0|0
0|2022-01-10|886.0|0|1940.0|0|2012.0|0|914.0|0
0|2022-01-11|886.0|0|1940.0|0|2012.0|0|914.0|0
0|2022-01-12|886.0|0|1940.0|0|2012.0|0|914.0|0
0|2022-01-13|886.0|0|1940.0|0|2012.0|0|914.0|0
0|2022-01-14|886.0|0|1940.0|0|2012.0|0|914.0|0
0|2022-01-15|886.0|0|1940.0|0|2012.0|0|914.0|0
0|2022-01-16|886.0|0|1940.0|0|2012.0|0|914.0|0
0|2022-01-17|886.0|0|1940.0|0|2012.0|0|914.0|0
