|dates|Carroll_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Carroll_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Carroll_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Carroll_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Carroll_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Carroll_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Carroll_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Carroll_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-11-23|5864.0|0|5864.0|0|110.0|0|0.0|100
0|2021-11-24|5864.0|0|5864.0|0|111.0|0|0.0|100
0|2021-11-25|5864.0|0|5864.0|0|111.0|0|0.0|100
0|2021-11-26|5864.0|0|5864.0|0|111.0|0|0.0|100
0|2021-11-27|5864.0|0|5864.0|0|111.0|0|0.0|100
0|2021-11-28|5864.0|0|5864.0|0|111.0|0|0.0|100
0|2021-11-29|5876.0|0|5876.0|0|111.0|0|0.0|100
0|2021-11-30|5884.0|0|5884.0|0|111.0|0|0.0|100
0|2021-12-01|5894.0|0|5894.0|0|112.0|0|0.0|100
0|2021-12-02|5898.0|0|5898.0|0|112.0|0|0.0|100
0|2021-12-03|5905.0|0|5905.0|0|113.0|0|0.0|100
0|2021-12-04|5905.0|0|5905.0|0|113.0|0|0.0|100
0|2021-12-05|5905.0|0|5905.0|0|113.0|0|0.0|100
0|2021-12-06|5911.0|0|5911.0|0|113.0|0|0.0|100
0|2021-12-07|5926.0|0|5926.0|0|113.0|0|0.0|100
0|2021-12-08|5936.0|0|5936.0|0|113.0|0|0.0|100
0|2021-12-09|5936.0|0|5936.0|0|113.0|0|0.0|100
0|2021-12-10|5952.0|0|5952.0|0|113.0|0|0.0|100
0|2021-12-11|5952.0|0|5952.0|0|113.0|0|0.0|100
0|2021-12-12|5952.0|0|5952.0|0|113.0|0|0.0|100
0|2021-12-13|5970.0|0|5970.0|0|113.0|0|0.0|100
0|2021-12-14|5970.0|0|5974.0|0|113.0|0|0.0|100
0|2021-12-15|5983.0|0|5983.0|0|114.0|0|0.0|100
0|2021-12-16|5993.0|0|5993.0|0|114.0|0|0.0|100
0|2021-12-17|6006.0|0|6006.0|0|114.0|0|0.0|100
0|2021-12-18|6006.0|0|6006.0|0|114.0|0|0.0|100
0|2021-12-19|6006.0|0|6006.0|0|114.0|0|0.0|100
0|2021-12-20|6020.0|0|6020.0|0|114.0|0|0.0|100
0|2021-12-21|6022.0|0|6022.0|0|115.0|0|0.0|100
0|2021-12-22|6029.0|0|6029.0|0|116.0|0|0.0|100
0|2021-12-23|6048.0|0|6048.0|0|127.0|0|0.0|100
0|2021-12-24|6048.0|0|6048.0|0|127.0|0|0.0|100
0|2021-12-25|6048.0|0|6048.0|0|127.0|0|0.0|100
0|2021-12-26|6048.0|0|6048.0|0|127.0|0|0.0|100
0|2021-12-27|6067.0|0|6067.0|0|127.0|0|0.0|100
0|2021-12-28|6067.0|0|6085.0|0|127.0|0|0.0|100
0|2021-12-29|6109.0|0|6109.0|0|127.0|0|0.0|100
0|2021-12-30|6129.0|0|6129.0|0|127.0|0|0.0|100
0|2021-12-31|6129.0|0|6129.0|0|127.0|0|0.0|100
0|2022-01-01|6129.0|0|6129.0|0|127.0|0|0.0|100
0|2022-01-02|6129.0|0|6129.0|0|127.0|0|0.0|100
0|2022-01-03|6214.0|0|6214.0|0|129.0|0|0.0|100
0|2022-01-04|6248.0|0|6248.0|0|129.0|0|0.0|100
0|2022-01-05|6248.0|0|6248.0|0|129.0|0|0.0|100
0|2022-01-06|6248.0|0|6248.0|0|129.0|0|0.0|100
0|2022-01-07|6248.0|0|6248.0|0|129.0|0|0.0|100
0|2022-01-08|6248.0|0|6248.0|0|129.0|0|0.0|100
0|2022-01-09|6248.0|0|6248.0|0|129.0|0|0.0|100
0|2022-01-10|6248.0|0|6248.0|0|129.0|0|0.0|100
0|2022-01-11|6248.0|0|6248.0|0|129.0|0|0.0|100
0|2022-01-12|6532.0|0|6532.0|0|130.0|0|0.0|100
0|2022-01-13|6532.0|0|6532.0|0|130.0|0|0.0|100
0|2022-01-14|6532.0|0|6532.0|0|130.0|0|0.0|100
0|2022-01-15|6532.0|0|6532.0|0|130.0|0|0.0|100
0|2022-01-16|6532.0|0|6532.0|0|130.0|0|0.0|100
0|2022-01-17|6532.0|0|0.0|100|130.0|0|0.0|100
