|dates|Chase_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Chase_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Chase_Kansas_UnitedStates.Male_Total_Population.data|Chase_Kansas_UnitedStates.Male_Total_Population.missing|Chase_Kansas_UnitedStates.Female_Total_Population.data|Chase_Kansas_UnitedStates.Female_Total_Population.missing|Chase_Kansas_UnitedStates.MaleAndFemale_Under18_Population.data|Chase_Kansas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-11-11|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-11-12|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-11-13|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-11-14|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-11-15|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-11-16|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-11-17|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-11-18|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-11-19|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-11-20|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-11-21|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-11-22|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-11-23|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-11-24|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-11-25|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-11-26|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-11-27|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-11-28|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-11-29|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-11-30|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-12-01|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-12-02|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-12-03|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-12-04|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-12-05|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-12-06|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-12-07|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-12-08|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-12-09|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-12-10|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-12-11|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-12-12|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-12-13|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-12-14|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-12-15|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-12-16|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-12-17|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-12-18|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-12-19|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-12-20|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-12-21|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-12-22|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-12-23|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-12-24|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-12-25|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-12-26|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-12-27|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-12-28|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-12-29|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-12-30|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2021-12-31|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2022-01-01|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2022-01-02|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2022-01-03|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2022-01-04|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2022-01-05|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2022-01-06|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2022-01-07|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2022-01-08|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2022-01-09|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2022-01-10|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2022-01-11|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2022-01-12|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2022-01-13|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2022-01-14|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2022-01-15|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2022-01-16|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2022-01-17|661.0|0|1338.0|0|1291.0|0|525.0|0
