|dates|Claiborne_Mississippi_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Claiborne_Mississippi_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Claiborne_Mississippi_UnitedStates.Male_Total_Population.data|Claiborne_Mississippi_UnitedStates.Male_Total_Population.missing|Claiborne_Mississippi_UnitedStates.Female_Total_Population.data|Claiborne_Mississippi_UnitedStates.Female_Total_Population.missing|Claiborne_Mississippi_UnitedStates.MaleAndFemale_Under18_Population.data|Claiborne_Mississippi_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-12-25|1472.0|0|4265.0|0|4737.0|0|1888.0|0
0|2021-12-26|1472.0|0|4265.0|0|4737.0|0|1888.0|0
0|2021-12-27|1472.0|0|4265.0|0|4737.0|0|1888.0|0
0|2021-12-28|1472.0|0|4265.0|0|4737.0|0|1888.0|0
0|2021-12-29|1472.0|0|4265.0|0|4737.0|0|1888.0|0
0|2021-12-30|1472.0|0|4265.0|0|4737.0|0|1888.0|0
0|2021-12-31|1472.0|0|4265.0|0|4737.0|0|1888.0|0
0|2022-01-01|1472.0|0|4265.0|0|4737.0|0|1888.0|0
0|2022-01-02|1472.0|0|4265.0|0|4737.0|0|1888.0|0
0|2022-01-03|1472.0|0|4265.0|0|4737.0|0|1888.0|0
0|2022-01-04|1472.0|0|4265.0|0|4737.0|0|1888.0|0
0|2022-01-05|1472.0|0|4265.0|0|4737.0|0|1888.0|0
0|2022-01-06|1472.0|0|4265.0|0|4737.0|0|1888.0|0
0|2022-01-07|1472.0|0|4265.0|0|4737.0|0|1888.0|0
0|2022-01-08|1472.0|0|4265.0|0|4737.0|0|1888.0|0
0|2022-01-09|1472.0|0|4265.0|0|4737.0|0|1888.0|0
0|2022-01-10|1472.0|0|4265.0|0|4737.0|0|1888.0|0
0|2022-01-11|1472.0|0|4265.0|0|4737.0|0|1888.0|0
0|2022-01-12|1472.0|0|4265.0|0|4737.0|0|1888.0|0
0|2022-01-13|1472.0|0|4265.0|0|4737.0|0|1888.0|0
0|2022-01-14|1472.0|0|4265.0|0|4737.0|0|1888.0|0
0|2022-01-15|1472.0|0|4265.0|0|4737.0|0|1888.0|0
0|2022-01-16|1472.0|0|4265.0|0|4737.0|0|1888.0|0
0|2022-01-17|1472.0|0|4265.0|0|4737.0|0|1888.0|0
