|dates|McIntosh_NorthDakota_UnitedStates.JHU_ConfirmedCases.data|McIntosh_NorthDakota_UnitedStates.JHU_ConfirmedCases.missing|McIntosh_NorthDakota_UnitedStates.NYT_ConfirmedCases.data|McIntosh_NorthDakota_UnitedStates.NYT_ConfirmedCases.missing|McIntosh_NorthDakota_UnitedStates.JHU_ConfirmedDeaths.data|McIntosh_NorthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|McIntosh_NorthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|McIntosh_NorthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-12-09|524.0|0|524.0|0|9.0|0|0.0|100
0|2021-12-10|527.0|0|527.0|0|9.0|0|0.0|100
0|2021-12-11|527.0|0|527.0|0|9.0|0|0.0|100
0|2021-12-12|527.0|0|527.0|0|9.0|0|0.0|100
0|2021-12-13|527.0|0|527.0|0|9.0|0|0.0|100
0|2021-12-14|527.0|0|527.0|0|9.0|0|0.0|100
0|2021-12-15|529.0|0|529.0|0|9.0|0|0.0|100
0|2021-12-16|531.0|0|531.0|0|9.0|0|0.0|100
0|2021-12-17|532.0|0|532.0|0|9.0|0|0.0|100
0|2021-12-18|532.0|0|532.0|0|9.0|0|0.0|100
0|2021-12-19|532.0|0|532.0|0|9.0|0|0.0|100
0|2021-12-20|532.0|0|532.0|0|9.0|0|0.0|100
0|2021-12-21|535.0|0|535.0|0|9.0|0|0.0|100
0|2021-12-22|536.0|0|536.0|0|9.0|0|0.0|100
0|2021-12-23|538.0|0|538.0|0|9.0|0|0.0|100
0|2021-12-24|538.0|0|538.0|0|9.0|0|0.0|100
0|2021-12-25|539.0|0|539.0|0|9.0|0|0.0|100
0|2021-12-26|539.0|0|539.0|0|9.0|0|0.0|100
0|2021-12-27|539.0|0|539.0|0|9.0|0|0.0|100
0|2021-12-28|541.0|0|541.0|0|9.0|0|0.0|100
0|2021-12-29|541.0|0|541.0|0|9.0|0|0.0|100
0|2021-12-30|541.0|0|541.0|0|9.0|0|0.0|100
0|2021-12-31|542.0|0|542.0|0|9.0|0|0.0|100
0|2022-01-01|544.0|0|544.0|0|9.0|0|0.0|100
0|2022-01-02|544.0|0|544.0|0|9.0|0|0.0|100
0|2022-01-03|544.0|0|544.0|0|9.0|0|0.0|100
0|2022-01-04|548.0|0|548.0|0|9.0|0|0.0|100
0|2022-01-05|549.0|0|549.0|0|9.0|0|0.0|100
0|2022-01-06|550.0|0|550.0|0|9.0|0|0.0|100
0|2022-01-07|552.0|0|552.0|0|9.0|0|0.0|100
0|2022-01-08|553.0|0|553.0|0|9.0|0|0.0|100
0|2022-01-09|554.0|0|554.0|0|9.0|0|0.0|100
0|2022-01-10|556.0|0|556.0|0|9.0|0|0.0|100
0|2022-01-11|558.0|0|558.0|0|9.0|0|0.0|100
0|2022-01-12|565.0|0|565.0|0|9.0|0|0.0|100
0|2022-01-13|565.0|0|570.0|0|9.0|0|0.0|100
0|2022-01-14|569.0|0|569.0|0|9.0|0|0.0|100
0|2022-01-15|570.0|0|570.0|0|9.0|0|0.0|100
0|2022-01-16|570.0|0|570.0|0|9.0|0|0.0|100
0|2022-01-17|570.0|0|0.0|100|9.0|0|0.0|100
