|dates|Anoka_Minnesota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Anoka_Minnesota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Anoka_Minnesota_UnitedStates.Male_Total_Population.data|Anoka_Minnesota_UnitedStates.Male_Total_Population.missing|Anoka_Minnesota_UnitedStates.Female_Total_Population.data|Anoka_Minnesota_UnitedStates.Female_Total_Population.missing|Anoka_Minnesota_UnitedStates.MaleAndFemale_Under18_Population.data|Anoka_Minnesota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-11-21|49712.0|0|176976.0|0|176837.0|0|84396.0|0
0|2021-11-22|49712.0|0|176976.0|0|176837.0|0|84396.0|0
0|2021-11-23|49712.0|0|176976.0|0|176837.0|0|84396.0|0
0|2021-11-24|49712.0|0|176976.0|0|176837.0|0|84396.0|0
0|2021-11-25|49712.0|0|176976.0|0|176837.0|0|84396.0|0
0|2021-11-26|49712.0|0|176976.0|0|176837.0|0|84396.0|0
0|2021-11-27|49712.0|0|176976.0|0|176837.0|0|84396.0|0
0|2021-11-28|49712.0|0|176976.0|0|176837.0|0|84396.0|0
0|2021-11-29|49712.0|0|176976.0|0|176837.0|0|84396.0|0
0|2021-11-30|49712.0|0|176976.0|0|176837.0|0|84396.0|0
0|2021-12-01|49712.0|0|176976.0|0|176837.0|0|84396.0|0
0|2021-12-02|49712.0|0|176976.0|0|176837.0|0|84396.0|0
0|2021-12-03|49712.0|0|176976.0|0|176837.0|0|84396.0|0
0|2021-12-04|49712.0|0|176976.0|0|176837.0|0|84396.0|0
0|2021-12-05|49712.0|0|176976.0|0|176837.0|0|84396.0|0
0|2021-12-06|49712.0|0|176976.0|0|176837.0|0|84396.0|0
0|2021-12-07|49712.0|0|176976.0|0|176837.0|0|84396.0|0
0|2021-12-08|49712.0|0|176976.0|0|176837.0|0|84396.0|0
0|2021-12-09|49712.0|0|176976.0|0|176837.0|0|84396.0|0
0|2021-12-10|49712.0|0|176976.0|0|176837.0|0|84396.0|0
0|2021-12-11|49712.0|0|176976.0|0|176837.0|0|84396.0|0
0|2021-12-12|49712.0|0|176976.0|0|176837.0|0|84396.0|0
0|2021-12-13|49712.0|0|176976.0|0|176837.0|0|84396.0|0
0|2021-12-14|49712.0|0|176976.0|0|176837.0|0|84396.0|0
0|2021-12-15|49712.0|0|176976.0|0|176837.0|0|84396.0|0
0|2021-12-16|49712.0|0|176976.0|0|176837.0|0|84396.0|0
0|2021-12-17|49712.0|0|176976.0|0|176837.0|0|84396.0|0
0|2021-12-18|49712.0|0|176976.0|0|176837.0|0|84396.0|0
0|2021-12-19|49712.0|0|176976.0|0|176837.0|0|84396.0|0
0|2021-12-20|49712.0|0|176976.0|0|176837.0|0|84396.0|0
0|2021-12-21|49712.0|0|176976.0|0|176837.0|0|84396.0|0
0|2021-12-22|49712.0|0|176976.0|0|176837.0|0|84396.0|0
0|2021-12-23|49712.0|0|176976.0|0|176837.0|0|84396.0|0
0|2021-12-24|49712.0|0|176976.0|0|176837.0|0|84396.0|0
0|2021-12-25|49712.0|0|176976.0|0|176837.0|0|84396.0|0
0|2021-12-26|49712.0|0|176976.0|0|176837.0|0|84396.0|0
0|2021-12-27|49712.0|0|176976.0|0|176837.0|0|84396.0|0
0|2021-12-28|49712.0|0|176976.0|0|176837.0|0|84396.0|0
0|2021-12-29|49712.0|0|176976.0|0|176837.0|0|84396.0|0
0|2021-12-30|49712.0|0|176976.0|0|176837.0|0|84396.0|0
0|2021-12-31|49712.0|0|176976.0|0|176837.0|0|84396.0|0
0|2022-01-01|49712.0|0|176976.0|0|176837.0|0|84396.0|0
0|2022-01-02|49712.0|0|176976.0|0|176837.0|0|84396.0|0
0|2022-01-03|49712.0|0|176976.0|0|176837.0|0|84396.0|0
0|2022-01-04|49712.0|0|176976.0|0|176837.0|0|84396.0|0
0|2022-01-05|49712.0|0|176976.0|0|176837.0|0|84396.0|0
0|2022-01-06|49712.0|0|176976.0|0|176837.0|0|84396.0|0
0|2022-01-07|49712.0|0|176976.0|0|176837.0|0|84396.0|0
0|2022-01-08|49712.0|0|176976.0|0|176837.0|0|84396.0|0
0|2022-01-09|49712.0|0|176976.0|0|176837.0|0|84396.0|0
0|2022-01-10|49712.0|0|176976.0|0|176837.0|0|84396.0|0
0|2022-01-11|49712.0|0|176976.0|0|176837.0|0|84396.0|0
0|2022-01-12|49712.0|0|176976.0|0|176837.0|0|84396.0|0
0|2022-01-13|49712.0|0|176976.0|0|176837.0|0|84396.0|0
0|2022-01-14|49712.0|0|176976.0|0|176837.0|0|84396.0|0
0|2022-01-15|49712.0|0|176976.0|0|176837.0|0|84396.0|0
0|2022-01-16|49712.0|0|176976.0|0|176837.0|0|84396.0|0
0|2022-01-17|49712.0|0|176976.0|0|176837.0|0|84396.0|0
