|dates|Houston_Minnesota_UnitedStates.JHU_ConfirmedCases.data|Houston_Minnesota_UnitedStates.JHU_ConfirmedCases.missing|Houston_Minnesota_UnitedStates.NYT_ConfirmedCases.data|Houston_Minnesota_UnitedStates.NYT_ConfirmedCases.missing|Houston_Minnesota_UnitedStates.JHU_ConfirmedDeaths.data|Houston_Minnesota_UnitedStates.JHU_ConfirmedDeaths.missing|Houston_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.data|Houston_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-11-22|2611.0|0|2611.0|0|17.0|0|0.0|100
0|2021-11-23|2638.0|0|2638.0|0|17.0|0|0.0|100
0|2021-11-24|2648.0|0|2648.0|0|17.0|0|0.0|100
0|2021-11-25|2648.0|0|2648.0|0|17.0|0|0.0|100
0|2021-11-26|2668.0|0|2668.0|0|17.0|0|0.0|100
0|2021-11-27|2668.0|0|2668.0|0|17.0|0|0.0|100
0|2021-11-28|2668.0|0|2668.0|0|17.0|0|0.0|100
0|2021-11-29|2687.0|0|2687.0|0|17.0|0|0.0|100
0|2021-11-30|2707.0|0|2707.0|0|17.0|0|0.0|100
0|2021-12-01|2720.0|0|2720.0|0|17.0|0|0.0|100
0|2021-12-02|2720.0|0|2724.0|0|17.0|0|0.0|100
0|2021-12-03|2753.0|0|2753.0|0|17.0|0|0.0|100
0|2021-12-04|2753.0|0|2753.0|0|17.0|0|0.0|100
0|2021-12-05|2753.0|0|2753.0|0|17.0|0|0.0|100
0|2021-12-06|2778.0|0|2778.0|0|17.0|0|0.0|100
0|2021-12-07|2811.0|0|2811.0|0|17.0|0|0.0|100
0|2021-12-08|2815.0|0|2815.0|0|17.0|0|0.0|100
0|2021-12-09|2837.0|0|2837.0|0|17.0|0|0.0|100
0|2021-12-10|2847.0|0|2847.0|0|17.0|0|0.0|100
0|2021-12-11|2847.0|0|2847.0|0|17.0|0|0.0|100
0|2021-12-12|2847.0|0|2847.0|0|17.0|0|0.0|100
0|2021-12-13|2856.0|0|2856.0|0|17.0|0|0.0|100
0|2021-12-14|2856.0|0|2893.0|0|17.0|0|0.0|100
0|2021-12-15|2908.0|0|2908.0|0|17.0|0|0.0|100
0|2021-12-16|2927.0|0|2927.0|0|17.0|0|0.0|100
0|2021-12-17|2955.0|0|2955.0|0|17.0|0|0.0|100
0|2021-12-18|2955.0|0|2955.0|0|17.0|0|0.0|100
0|2021-12-19|2955.0|0|2955.0|0|17.0|0|0.0|100
0|2021-12-20|2976.0|0|2976.0|0|17.0|0|0.0|100
0|2021-12-21|3007.0|0|3007.0|0|17.0|0|0.0|100
0|2021-12-22|3018.0|0|3018.0|0|18.0|0|0.0|100
0|2021-12-23|3045.0|0|3045.0|0|18.0|0|0.0|100
0|2021-12-24|3045.0|0|3045.0|0|18.0|0|0.0|100
0|2021-12-25|3045.0|0|3045.0|0|18.0|0|0.0|100
0|2021-12-26|3045.0|0|3045.0|0|18.0|0|0.0|100
0|2021-12-27|3075.0|0|3075.0|0|18.0|0|0.0|100
0|2021-12-28|3112.0|0|3112.0|0|18.0|0|0.0|100
0|2021-12-29|3128.0|0|3128.0|0|18.0|0|0.0|100
0|2021-12-30|3160.0|0|3160.0|0|18.0|0|0.0|100
0|2021-12-31|3160.0|0|3160.0|0|18.0|0|0.0|100
0|2022-01-01|3160.0|0|3160.0|0|18.0|0|0.0|100
0|2022-01-02|3160.0|0|3160.0|0|18.0|0|0.0|100
0|2022-01-03|3177.0|0|3177.0|0|18.0|0|0.0|100
0|2022-01-04|3210.0|0|3210.0|0|18.0|0|0.0|100
0|2022-01-05|3244.0|0|3244.0|0|18.0|0|0.0|100
0|2022-01-06|3259.0|0|3259.0|0|18.0|0|0.0|100
0|2022-01-07|3282.0|0|3282.0|0|18.0|0|0.0|100
0|2022-01-08|3282.0|0|3282.0|0|18.0|0|0.0|100
0|2022-01-09|3282.0|0|3282.0|0|18.0|0|0.0|100
0|2022-01-10|3296.0|0|3296.0|0|18.0|0|0.0|100
0|2022-01-11|3398.0|0|3398.0|0|18.0|0|0.0|100
0|2022-01-12|3419.0|0|3419.0|0|18.0|0|0.0|100
0|2022-01-13|3419.0|0|3446.0|0|18.0|0|0.0|100
0|2022-01-14|3463.0|0|3463.0|0|18.0|0|0.0|100
0|2022-01-15|3463.0|0|3463.0|0|18.0|0|0.0|100
0|2022-01-16|3463.0|0|3463.0|0|18.0|0|0.0|100
0|2022-01-17|3463.0|0|0.0|100|18.0|0|0.0|100
