|dates|Aurora_SouthDakota_UnitedStates.JHU_ConfirmedCases.data|Aurora_SouthDakota_UnitedStates.JHU_ConfirmedCases.missing|Aurora_SouthDakota_UnitedStates.NYT_ConfirmedCases.data|Aurora_SouthDakota_UnitedStates.NYT_ConfirmedCases.missing|Aurora_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.data|Aurora_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|Aurora_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|Aurora_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-11-09|560.0|0|560.0|0|17.0|0|0.0|100
0|2021-11-10|560.0|0|563.0|0|17.0|0|0.0|100
0|2021-11-11|563.0|0|563.0|0|17.0|0|0.0|100
0|2021-11-12|585.0|0|585.0|0|17.0|0|0.0|100
0|2021-11-13|585.0|0|585.0|0|17.0|0|0.0|100
0|2021-11-14|585.0|0|585.0|0|17.0|0|0.0|100
0|2021-11-15|563.0|0|563.0|0|17.0|0|0.0|100
0|2021-11-16|564.0|0|564.0|0|17.0|0|0.0|100
0|2021-11-17|564.0|0|564.0|0|17.0|0|0.0|100
0|2021-11-18|564.0|0|564.0|0|17.0|0|0.0|100
0|2021-11-19|564.0|0|564.0|0|17.0|0|0.0|100
0|2021-11-20|564.0|0|564.0|0|17.0|0|0.0|100
0|2021-11-21|564.0|0|564.0|0|17.0|0|0.0|100
0|2021-11-22|564.0|0|564.0|0|17.0|0|0.0|100
0|2021-11-23|568.0|0|568.0|0|17.0|0|0.0|100
0|2021-11-24|569.0|0|569.0|0|17.0|0|0.0|100
0|2021-11-25|569.0|0|569.0|0|17.0|0|0.0|100
0|2021-11-26|569.0|0|569.0|0|17.0|0|0.0|100
0|2021-11-27|569.0|0|569.0|0|17.0|0|0.0|100
0|2021-11-28|569.0|0|569.0|0|17.0|0|0.0|100
0|2021-11-29|571.0|0|571.0|0|17.0|0|0.0|100
0|2021-11-30|576.0|0|576.0|0|17.0|0|0.0|100
0|2021-12-01|577.0|0|577.0|0|17.0|0|0.0|100
0|2021-12-02|577.0|0|577.0|0|17.0|0|0.0|100
0|2021-12-03|579.0|0|579.0|0|17.0|0|0.0|100
0|2021-12-04|579.0|0|579.0|0|17.0|0|0.0|100
0|2021-12-05|579.0|0|579.0|0|17.0|0|0.0|100
0|2021-12-06|579.0|0|579.0|0|17.0|0|0.0|100
0|2021-12-07|581.0|0|581.0|0|17.0|0|0.0|100
0|2021-12-08|581.0|0|581.0|0|17.0|0|0.0|100
0|2021-12-09|582.0|0|582.0|0|17.0|0|0.0|100
0|2021-12-10|578.0|0|578.0|0|17.0|0|0.0|100
0|2021-12-11|578.0|0|578.0|0|17.0|0|0.0|100
0|2021-12-12|578.0|0|578.0|0|17.0|0|0.0|100
0|2021-12-13|580.0|0|580.0|0|17.0|0|0.0|100
0|2021-12-14|580.0|0|585.0|0|17.0|0|0.0|100
0|2021-12-15|587.0|0|587.0|0|17.0|0|0.0|100
0|2021-12-16|591.0|0|591.0|0|17.0|0|0.0|100
0|2021-12-17|594.0|0|594.0|0|17.0|0|0.0|100
0|2021-12-18|594.0|0|594.0|0|17.0|0|0.0|100
0|2021-12-19|594.0|0|594.0|0|17.0|0|0.0|100
0|2021-12-20|596.0|0|596.0|0|17.0|0|0.0|100
0|2021-12-21|597.0|0|597.0|0|17.0|0|0.0|100
0|2021-12-22|597.0|0|597.0|0|17.0|0|0.0|100
0|2021-12-23|599.0|0|599.0|0|17.0|0|0.0|100
0|2021-12-24|599.0|0|599.0|0|17.0|0|0.0|100
0|2021-12-25|599.0|0|599.0|0|17.0|0|0.0|100
0|2021-12-26|599.0|0|599.0|0|17.0|0|0.0|100
0|2021-12-27|599.0|0|599.0|0|17.0|0|0.0|100
0|2021-12-28|600.0|0|600.0|0|17.0|0|0.0|100
0|2021-12-29|602.0|0|602.0|0|17.0|0|0.0|100
0|2021-12-30|611.0|0|611.0|0|17.0|0|0.0|100
0|2021-12-31|611.0|0|611.0|0|17.0|0|0.0|100
0|2022-01-01|611.0|0|611.0|0|17.0|0|0.0|100
0|2022-01-02|611.0|0|611.0|0|17.0|0|0.0|100
0|2022-01-03|611.0|0|611.0|0|17.0|0|0.0|100
0|2022-01-04|617.0|0|617.0|0|17.0|0|0.0|100
0|2022-01-05|621.0|0|621.0|0|17.0|0|0.0|100
0|2022-01-06|629.0|0|629.0|0|17.0|0|0.0|100
0|2022-01-07|633.0|0|633.0|0|17.0|0|0.0|100
0|2022-01-08|633.0|0|633.0|0|17.0|0|0.0|100
0|2022-01-09|633.0|0|633.0|0|17.0|0|0.0|100
0|2022-01-10|637.0|0|637.0|0|17.0|0|0.0|100
0|2022-01-11|643.0|0|643.0|0|17.0|0|0.0|100
0|2022-01-12|656.0|0|656.0|0|17.0|0|0.0|100
0|2022-01-13|656.0|0|661.0|0|17.0|0|0.0|100
0|2022-01-14|661.0|0|668.0|0|17.0|0|0.0|100
0|2022-01-15|668.0|0|668.0|0|17.0|0|0.0|100
0|2022-01-16|668.0|0|668.0|0|17.0|0|0.0|100
0|2022-01-17|668.0|0|0.0|100|17.0|0|0.0|100
