|dates|Kaufman_Texas_UnitedStates.JHU_ConfirmedCases.data|Kaufman_Texas_UnitedStates.JHU_ConfirmedCases.missing|Kaufman_Texas_UnitedStates.NYT_ConfirmedCases.data|Kaufman_Texas_UnitedStates.NYT_ConfirmedCases.missing|Kaufman_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Kaufman_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Kaufman_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Kaufman_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-11-15|24186.0|0|24186.0|0|430.0|0|0.0|100
0|2021-11-16|24207.0|0|24207.0|0|430.0|0|0.0|100
0|2021-11-17|24210.0|0|24210.0|0|430.0|0|0.0|100
0|2021-11-18|24213.0|0|24213.0|0|433.0|0|0.0|100
0|2021-11-19|24217.0|0|24217.0|0|434.0|0|0.0|100
0|2021-11-20|24226.0|0|24226.0|0|436.0|0|0.0|100
0|2021-11-21|24226.0|0|24226.0|0|436.0|0|0.0|100
0|2021-11-22|24226.0|0|24226.0|0|436.0|0|0.0|100
0|2021-11-23|24241.0|0|24241.0|0|438.0|0|0.0|100
0|2021-11-24|24253.0|0|24253.0|0|440.0|0|0.0|100
0|2021-11-25|24253.0|0|24253.0|0|440.0|0|0.0|100
0|2021-11-26|24253.0|0|24253.0|0|440.0|0|0.0|100
0|2021-11-27|24253.0|0|24253.0|0|440.0|0|0.0|100
0|2021-11-28|24253.0|0|24253.0|0|440.0|0|0.0|100
0|2021-11-29|24263.0|0|24263.0|0|441.0|0|0.0|100
0|2021-11-30|24297.0|0|24297.0|0|441.0|0|0.0|100
0|2021-12-01|24302.0|0|24302.0|0|443.0|0|0.0|100
0|2021-12-02|24306.0|0|24306.0|0|444.0|0|0.0|100
0|2021-12-03|24315.0|0|24315.0|0|445.0|0|0.0|100
0|2021-12-04|24328.0|0|24328.0|0|445.0|0|0.0|100
0|2021-12-05|24331.0|0|24331.0|0|445.0|0|0.0|100
0|2021-12-06|24347.0|0|24347.0|0|445.0|0|0.0|100
0|2021-12-07|24360.0|0|24360.0|0|445.0|0|0.0|100
0|2021-12-08|24370.0|0|24370.0|0|445.0|0|0.0|100
0|2021-12-09|24385.0|0|24385.0|0|447.0|0|0.0|100
0|2021-12-10|24516.0|0|24516.0|0|447.0|0|0.0|100
0|2021-12-11|24531.0|0|24531.0|0|447.0|0|0.0|100
0|2021-12-12|24545.0|0|24545.0|0|447.0|0|0.0|100
0|2021-12-13|24566.0|0|24566.0|0|447.0|0|0.0|100
0|2021-12-14|24566.0|0|24596.0|0|447.0|0|0.0|100
0|2021-12-15|24626.0|0|24626.0|0|447.0|0|0.0|100
0|2021-12-16|24656.0|0|24656.0|0|447.0|0|0.0|100
0|2021-12-17|24680.0|0|24680.0|0|447.0|0|0.0|100
0|2021-12-18|24701.0|0|24701.0|0|448.0|0|0.0|100
0|2021-12-19|24723.0|0|24723.0|0|448.0|0|0.0|100
0|2021-12-20|24762.0|0|24762.0|0|448.0|0|0.0|100
0|2021-12-21|24813.0|0|24813.0|0|449.0|0|0.0|100
0|2021-12-22|24832.0|0|24832.0|0|449.0|0|0.0|100
0|2021-12-23|24875.0|0|24875.0|0|449.0|0|0.0|100
0|2021-12-24|24875.0|0|24875.0|0|449.0|0|0.0|100
0|2021-12-25|24875.0|0|24875.0|0|449.0|0|0.0|100
0|2021-12-26|24875.0|0|24875.0|0|449.0|0|0.0|100
0|2021-12-27|25092.0|0|25092.0|0|450.0|0|0.0|100
0|2021-12-28|25177.0|0|25177.0|0|452.0|0|0.0|100
0|2021-12-29|25231.0|0|25231.0|0|452.0|0|0.0|100
0|2021-12-30|25329.0|0|25329.0|0|453.0|0|0.0|100
0|2021-12-31|25329.0|0|25329.0|0|453.0|0|0.0|100
0|2022-01-01|25329.0|0|25329.0|0|453.0|0|0.0|100
0|2022-01-02|25329.0|0|25329.0|0|453.0|0|0.0|100
0|2022-01-03|26041.0|0|26041.0|0|455.0|0|0.0|100
0|2022-01-04|26304.0|0|26304.0|0|455.0|0|0.0|100
0|2022-01-05|26558.0|0|26558.0|0|455.0|0|0.0|100
0|2022-01-06|26820.0|0|26820.0|0|455.0|0|0.0|100
0|2022-01-07|26979.0|0|26979.0|0|456.0|0|0.0|100
0|2022-01-08|27318.0|0|27318.0|0|456.0|0|0.0|100
0|2022-01-09|27577.0|0|27577.0|0|456.0|0|0.0|100
0|2022-01-10|27767.0|0|27767.0|0|456.0|0|0.0|100
0|2022-01-11|28034.0|0|28034.0|0|457.0|0|0.0|100
0|2022-01-12|28412.0|0|28412.0|0|457.0|0|0.0|100
0|2022-01-13|28412.0|0|28768.0|0|457.0|0|0.0|100
0|2022-01-14|28768.0|0|28886.0|0|457.0|0|0.0|100
0|2022-01-15|29262.0|0|29262.0|0|457.0|0|0.0|100
0|2022-01-16|29520.0|0|29520.0|0|458.0|0|0.0|100
0|2022-01-17|29897.0|0|0.0|100|458.0|0|0.0|100
