|dates|Reagan_Texas_UnitedStates.JHU_ConfirmedCases.data|Reagan_Texas_UnitedStates.JHU_ConfirmedCases.missing|Reagan_Texas_UnitedStates.NYT_ConfirmedCases.data|Reagan_Texas_UnitedStates.NYT_ConfirmedCases.missing|Reagan_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Reagan_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Reagan_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Reagan_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2022-01-04|658.0|0|658.0|0|10.0|0|0.0|100
0|2022-01-05|661.0|0|661.0|0|10.0|0|0.0|100
0|2022-01-06|662.0|0|662.0|0|11.0|0|0.0|100
0|2022-01-07|668.0|0|668.0|0|11.0|0|0.0|100
0|2022-01-08|679.0|0|679.0|0|11.0|0|0.0|100
0|2022-01-09|680.0|0|680.0|0|11.0|0|0.0|100
0|2022-01-10|685.0|0|685.0|0|11.0|0|0.0|100
0|2022-01-11|694.0|0|694.0|0|11.0|0|0.0|100
0|2022-01-12|711.0|0|711.0|0|11.0|0|0.0|100
0|2022-01-13|711.0|0|725.0|0|11.0|0|0.0|100
0|2022-01-14|725.0|0|691.0|0|11.0|0|0.0|100
0|2022-01-15|703.0|0|703.0|0|11.0|0|0.0|100
0|2022-01-16|703.0|0|706.0|0|11.0|0|0.0|100
0|2022-01-17|711.0|0|0.0|100|11.0|0|0.0|100
