|dates|Boyd_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Boyd_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Boyd_Nebraska_UnitedStates.Male_Total_Population.data|Boyd_Nebraska_UnitedStates.Male_Total_Population.missing|Boyd_Nebraska_UnitedStates.Female_Total_Population.data|Boyd_Nebraska_UnitedStates.Female_Total_Population.missing|Boyd_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.data|Boyd_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-11-09|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-11-10|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-11-11|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-11-12|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-11-13|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-11-14|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-11-15|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-11-16|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-11-17|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-11-18|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-11-19|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-11-20|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-11-21|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-11-22|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-11-23|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-11-24|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-11-25|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-11-26|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-11-27|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-11-28|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-11-29|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-11-30|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-12-01|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-12-02|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-12-03|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-12-04|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-12-05|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-12-06|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-12-07|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-12-08|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-12-09|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-12-10|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-12-11|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-12-12|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-12-13|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-12-14|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-12-15|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-12-16|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-12-17|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-12-18|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-12-19|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-12-20|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-12-21|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-12-22|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-12-23|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-12-24|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-12-25|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-12-26|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-12-27|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-12-28|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-12-29|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-12-30|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-12-31|598.0|0|981.0|0|974.0|0|371.0|0
0|2022-01-01|598.0|0|981.0|0|974.0|0|371.0|0
0|2022-01-02|598.0|0|981.0|0|974.0|0|371.0|0
0|2022-01-03|598.0|0|981.0|0|974.0|0|371.0|0
0|2022-01-04|598.0|0|981.0|0|974.0|0|371.0|0
0|2022-01-05|598.0|0|981.0|0|974.0|0|371.0|0
0|2022-01-06|598.0|0|981.0|0|974.0|0|371.0|0
0|2022-01-07|598.0|0|981.0|0|974.0|0|371.0|0
0|2022-01-08|598.0|0|981.0|0|974.0|0|371.0|0
0|2022-01-09|598.0|0|981.0|0|974.0|0|371.0|0
0|2022-01-10|598.0|0|981.0|0|974.0|0|371.0|0
0|2022-01-11|598.0|0|981.0|0|974.0|0|371.0|0
0|2022-01-12|598.0|0|981.0|0|974.0|0|371.0|0
0|2022-01-13|598.0|0|981.0|0|974.0|0|371.0|0
0|2022-01-14|598.0|0|981.0|0|974.0|0|371.0|0
0|2022-01-15|598.0|0|981.0|0|974.0|0|371.0|0
0|2022-01-16|598.0|0|981.0|0|974.0|0|371.0|0
0|2022-01-17|598.0|0|981.0|0|974.0|0|371.0|0
